DTXSID,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,PXR_Emax,PXR_assay
DTXSID0021381,71-55-6,C2H3Cl3,131.930033,Inactive,0,0
DTXSID0021383,1979/1/6,C2HCl3,129.914383,Inactive,0,0
DTXSID0021385,133-07-3,C9H4Cl3NO2S,294.902833,Active,36.66467618,2.066766241
DTXSID0021387,93-72-1,C9H7Cl3O3,267.946077,Inactive,0,0
DTXSID0021389,52-68-6,C4H8Cl3O4P,255.922579,Inactive,0,0
DTXSID0021410,6138-79-0,C19H25ClN2O,332.165541,Inactive,0,0
DTXSID0021414,78-42-2,C24H51O4P,434.352497,Active,74.4848439,1.058659154
DTXSID0021418,1954/12/6,C11H12N2O2,204.089878,Inactive,0,0
DTXSID0021460,17924-92-4,C18H22O5,318.146724,Active,25.13697911,1.824288743
DTXSID0021462,136-23-2,C18H36N2S4Zn,472.105276,Inactive,0,0
DTXSID0021464,137-30-4,C6H12N2S4Zn,303.917475,Inactive,0,0
DTXSID0021543,111-85-3,C8H17Cl,148.101878,Inactive,0,0
DTXSID0021545,598-78-7,C3H5ClO2,107.997807,Inactive,0,0
DTXSID0021547,78-95-5,C3H5ClO,92.002893,Inactive,0,0
DTXSID0021597,111-71-7,C7H14O,114.104465,Inactive,0,0
DTXSID0021599,629-08-3,C7H13N,111.104799,Inactive,0,0
DTXSID0021620,625-28-5,C5H9N,83.073499,Inactive,0,0
DTXSID0021626,536-60-7,C10H14O,150.104465,Inactive,0,0
DTXSID0021628,78-98-8,C3H4O2,72.021129,Inactive,0,0
DTXSID0021672,545-06-2,C2Cl3N,142.909632,Inactive,0,0
DTXSID0021709,55-21-0,C7H7NO,121.052764,Inactive,0,0
DTXSID0021751,75-89-8,C2H3F3O,100.013599,Inactive,0,0
DTXSID0021757,78-27-3,C8H12O,124.088815,Inactive,0,0
DTXSID0021759,78-83-1,C4H10O,74.073165,Inactive,0,0
DTXSID0021832,99-97-8,C9H13N,135.104799,Active,39.81705864,0.842928531
DTXSID0021834,100-02-7,C6H5NO3,139.026943,Inactive,0,0
DTXSID0021836,100-25-4,C6H4N2O4,168.017107,Active,72.81745791,0.810446604
DTXSID0021886,107-45-9,C8H19N,129.15175,Inactive,0,0
DTXSID0021888,107-87-9,C5H10O,86.073165,Inactive,0,0
DTXSID0021915,110-40-7,C14H26O4,258.183109,Inactive,0,0
DTXSID0021917,110-54-3,C6H14,86.10955,Inactive,0,0
DTXSID0021961,119-61-9,C13H10O,182.073165,Inactive,0,0
DTXSID0021963,120-21-8,C11H15NO,177.115364,Active,27.98425394,0.809197433
DTXSID0021965,120-82-1,C6H3Cl3,179.930033,Inactive,0,0
DTXSID0021969,121-33-5,C8H8O3,152.047344,Inactive,0,0
DTXSID0022010,143-28-2,C18H36O,268.276616,Inactive,0,0
DTXSID0022012,150-19-6,C7H8O2,124.052429,Inactive,0,0
DTXSID0022014,150-78-7,C8H10O2,138.06808,Inactive,0,0
DTXSID0022016,280-57-9,C6H12N2,112.100048,Inactive,0,0
DTXSID0022018,298-04-4,C8H19O2PS3,274.02848,Inactive,0,0
DTXSID0022060,552-89-6,C7H5NO3,151.026943,Inactive,0,0
DTXSID0022062,563-80-4,C5H10O,86.073165,Inactive,0,0
DTXSID0022191,2455-24-5,C9H14O3,170.094294,Inactive,0,0
DTXSID0022193,2495-37-6,C11H12O2,176.08373,Inactive,0,0
DTXSID0022220,4901-51-3,C6H2Cl4O,229.885976,Active,154.489818,0.916565211
DTXSID0022301,70124-77-5,C26H23F2NO4,451.159515,Active,56.37242503,1.454362857
DTXSID0022305,1746-23-2,C12H16,160.125201,Inactive,0,0
DTXSID0022307,30030-25-2,, ,Inactive,0,0
DTXSID0022353,1992/4/6,C12H9ClO,204.034193,Active,96.49914698,0.700294915
DTXSID0022432,218-01-9,C18H12,228.0939,Inactive,0,0
