DTXSID,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,PXR_Emax,PXR_assay
DTXSID2041759,124-03-8,C20H44BrN,377.265713,Inactive,0,0
DTXSID2041880,644-64-4,C10H16N4O3,240.12224,Inactive,0,0
DTXSID2041884,63837-33-2,C18H20O4,300.136159,Active,127.1454789,0.921491072
DTXSID2041886,6988-21-2,C11H13NO4,223.084458,Inactive,0,0
DTXSID2041913,60207-93-4,C14H15Cl2N3O2,327.054132,Active,77.99333411,1.062361688
DTXSID2041917,140-07-8,C10H24N2O4,236.173607,Inactive,0,0
DTXSID2042014,557-30-2,C2H4N2O2,88.027277,Inactive,0,0
DTXSID2042060,124-76-5,C10H18O,154.135765,Inactive,0,0
DTXSID2042062,2756-56-1,C13H22O2,210.16198,Inactive,0,0
DTXSID2042143,2876-78-0,C13H12O2,200.08373,Inactive,0,0
DTXSID2042145,1729-67-5,C4H6Br2O2,243.873455,Inactive,0,0
DTXSID2042149,55107-14-7,C8H14O3,158.094294,Inactive,0,0
DTXSID2042191,534-13-4,C3H8N2S,104.040819,Inactive,0,0
DTXSID2042195,120-23-0,C12H10O3,202.062994,Inactive,0,0
DTXSID2042199,128-09-6,C4H4ClNO2,132.993056,Inactive,0,0
DTXSID2042220,63284-71-9,C17H12ClFN2O,314.062219,Active,146.8869287,0.709096633
DTXSID2042276,94-71-3,C8H10O2,138.06808,Inactive,0,0
DTXSID2042436,4065-45-6,C14H12O6S,308.035459,Inactive,0,0
DTXSID2042517,557-09-5,C16H30O4Zn,350.143551,Inactive,0,0
DTXSID2043747,116308-55-5,C41H42N4O6,686.310435,Inactive,0,0
DTXSID2043874,51-67-2,C8H11NO,137.084064,Inactive,0,0
DTXSID2043903,92-44-4,C10H8O2,160.052429,Inactive,0,0
DTXSID2044000,20229-30-5,C20H24N2S2,356.138091,Active,50.32165966,1.033686317
DTXSID2044002,54739-18-3,C15H21F3N2O2,318.155512,Active,63.33100376,1.033686317
DTXSID2044131,526-08-9,C15H14N4O2S,314.083747,Inactive,0,0
DTXSID2044137,89565-68-4,C17H20N2O2,284.152478,Inactive,0,0
DTXSID2044210,124832-27-5,C13H21ClN6O4,360.131281,Inactive,0,0
DTXSID2044218,145821-59-6,C20H26ClNO2S2,411.109349,Inactive,0,0
DTXSID2044266,82248-59-7,C17H22ClNO,291.138992,Active,30.25075914,1.12607824
DTXSID2044268,83881-52-1,C21H27Cl3N2O3,460.108726,Inactive,0,0
DTXSID2044347,100-06-1,C9H10O2,150.06808,Inactive,0,0
DTXSID2044391,88-69-7,C9H12O,136.088815,Inactive,0,0
DTXSID2044393,95-45-4,C4H8N2O2,116.058578,Inactive,0,0
DTXSID2044395,143-15-7,C12H25Br,248.113964,Inactive,0,0
DTXSID2044397,1493-13-6,CHF3O3S,149.95985,Inactive,0,0
DTXSID2044399,1571-33-1,C6H7O3P,158.013281,Inactive,0,0
DTXSID2044420,34487-61-1,C19H13NaO5S,376.038139,Inactive,0,0
DTXSID2044422,35141-30-1,C10H27N3O3Si,265.182168,Inactive,0,0
DTXSID2044424,3731-52-0,C6H8N2,108.068748,Inactive,0,0
DTXSID2044428,4420-74-0,C6H16O3SSi,196.058942,Inactive,0,0
DTXSID2044470,93-55-0,C9H10O,134.073165,Inactive,0,0
DTXSID2044472,95-92-1,C6H10O4,146.057909,Inactive,0,0
DTXSID2044476,5949/5/3,C10H18O,154.135765,Inactive,0,0
DTXSID2044503,10319-14-9,C18H10BrNO3,366.984406,Active,126.0079944,0.6845155
DTXSID2044507,10347-81-6,C20H24ClN,313.159727,Inactive,0,0
DTXSID2044509,10469-09-7,C6HCl4NO2,258.876139,Inactive,0,0
DTXSID2044553,15046-75-0,C7H7NaO3S,194.00136,Inactive,0,0
DTXSID2044559,26399-36-0,C14H16F3N3O4,347.10929,Active,97.57131781,1.215338538
DTXSID2044632,26644-00-8,C2H8O7P2,205.974527,Inactive,0,0
DTXSID2044638,2897-60-1,C11H24O4Si,248.144386,Inactive,0,0
DTXSID2044680,4985-85-7,C7H18N2O2,162.136828,Inactive,0,0
DTXSID2044682,51410-72-1,C10H21ClN2O,220.134241,Inactive,0,0
DTXSID2044684,52126-51-9,C10H7N2NaO6S,305.992251,Inactive,0,0
DTXSID2044686,52298-44-9,C14H16N2O4S,308.083078,Active,57.71804005,0.778413812
DTXSID2044713,67786-14-5,C17H11F3N3NaO4S,433.032006,Inactive,0,0
DTXSID2044715,68298-46-4,C10H13NO,163.099714,Active,32.435152,0.980848413
DTXSID2044717,6843-66-9,C14H16O2Si,244.091956,Active,61.03923406,0.7795004
DTXSID2044719,6928-67-2,C14H14Cl4O4,385.96462,Active,75.06517479,0.897916198
DTXSID2044763,10287-53-3,C11H15NO2,193.110279,Active,64.50931281,0.698459195
DTXSID2044765,103-54-8,C11H12O2,176.08373,Inactive,0,0
DTXSID2044767,103-74-2,C7H9NO,123.068414,Inactive,0,0
DTXSID2044769,103-95-7,C13H18O,190.135765,Inactive,0,0
DTXSID2044840,1561-92-8,C4H7NaO3S,158.00136,Inactive,0,0
DTXSID2044842,15901-40-3,C19H39N3Si,337.291325,Inactive,0,0
DTXSID2044844,15930-66-2,C11H25NO,187.193614,Inactive,0,0
DTXSID2044846,16588-34-4,C7H4ClNO3,184.987971,Inactive,0,0
DTXSID2044848,16669-59-3,C8H15NO2,157.110279,Inactive,0,0
DTXSID2044890,2467-03-0,C13H12O2,200.08373,Active,55.82118329,0.778413812
DTXSID2044892,2524-64-3,C12H10ClO3P,268.005609,Inactive,0,0
DTXSID2044894,25620-58-0,C9H22N2,158.178299,Inactive,0,0
DTXSID2044896,26115-70-8,C21H45N3O12Si3,615.231104,Inactive,0,0
DTXSID2044898,2628-16-2,C10H10O2,162.06808,Inactive,0,0
DTXSID2044921,34443-12-4,C13H26O4,246.183109,Inactive,0,0
DTXSID2044923,34562-31-7,C18H25N,255.1987,Active,104.8089464,0.972318119
DTXSID2044925,35578-47-3,C14H8Br2O2,365.889105,Inactive,0,0
DTXSID2044927,3658-48-8,C16H35O3P,306.232382,Inactive,0,0
DTXSID2044929,3698-89-3,C13H28S,216.191172,Inactive,0,0
DTXSID2044971,66072-38-6,C28H28O6,460.188589,Active,67.14972089,1.034983485
DTXSID2044973,67024-46-8,C11H22O2,186.16198,Inactive,0,0
DTXSID2044975,67151-63-7,C13H31N3O,245.246713,Inactive,0,0
DTXSID2044979,6961-82-6,C6H6ClNO2S,190.980777,Inactive,0,0
DTXSID2045072,6378-25-2,C6H3Cl3O3S,259.886848,Inactive,0,0
DTXSID2045076,64-72-2,C22H24Cl2N2O8,514.090971,Inactive,0,0
DTXSID2045105,6202-23-9,C20H22ClN,311.144077,Active,58.23202091,1.033686317
DTXSID2045107,4408-78-0,C2H5O5P,139.98746,Inactive,0,0
DTXSID2045151,67-42-5,C14H24N2O10,380.143095,Inactive,0,0
DTXSID2045153,80288-49-9,C12H12N4O3,260.09094,Inactive,0,0
DTXSID2045157,29110-48-3,C9H10Cl3N3O,280.988945,Inactive,0,0
DTXSID2045232,51-24-1,C14H9I3O4,621.76349,Inactive,0,0
DTXSID2045238,54-42-2,C9H11IN2O5,353.97127,Inactive,0,0
DTXSID2045280,115-46-8,C18H21NO,267.162314,Inactive,0,0
DTXSID2045315,521-78-8,C24H30N2O4,410.220557,Active,86.34611735,0.981712585
DTXSID2045361,1649-18-9,C19H22FN3O,327.174691,Active,61.88206652,1.357419559
DTXSID2045365,2135-17-3,C22H28F2O5,410.19048,Active,34.85949181,1.49567895
DTXSID2045440,23288-49-5,C31H48O2S2,516.309573,Inactive,0,0
DTXSID2045444,23964-57-0,C13H21ClN2O3S,320.096141,Inactive,0,0
DTXSID2045448,30544-47-9,C18H18F3NO4,369.118793,Active,73.29347222,0.871454292
DTXSID2045490,61318-91-0,C18H16Cl3N3O3S,458.997796,Active,148.5251495,0.930452302
DTXSID2045492,63245-28-3,C16H22N2O5,322.152872,Inactive,0,0
DTXSID2045496,65473-14-5,C21H22ClN,323.144077,Inactive,0,0
DTXSID2045521,87771-40-2,C18H24I3N3O9,806.86466,Inactive,0,0
DTXSID2045523,92339-11-2,C35H44I6N6O15,1549.71328,Inactive,0,0
DTXSID2045527,98079-52-8,C17H20ClF2N3O3,387.116126,Inactive,0,0
DTXSID2045575,26155-31-7,C16H22N2O6S,370.119858,Inactive,0,0
DTXSID2045600,83915-83-7,C21H35N3O7,441.2475,Inactive,0,0
DTXSID2045652,54239-37-1,C12H17N3O,219.137162,Inactive,0,0
DTXSID2045654,70788-28-2,C7H9FN3O2P,217.041642,Inactive,0,0
DTXSID2045656,23210-56-2,C21H27NO2,325.204179,Inactive,0,0
DTXSID2045735,1343-78-8,, ,Inactive,0,0
DTXSID2045781,77257-42-2,C22H30INO,451.13721,Inactive,0,0
DTXSID2045783,5370/1/4,C11H18ClNO,215.107692,Inactive,0,0
DTXSID2045810,2062-77-3,C22H24ClF4NO2,445.143169,Active,58.89118743,1.45673075
DTXSID2045812,64887-14-5,C20H30ClN5O3,423.203717,Inactive,0,0
DTXSID2045860,13636-18-5,C23H26ClN,351.175378,Active,32.96049593,1.61529607
DTXSID2045862,3413-64-7,C15H25ClN2O3,316.15537,Inactive,0,0
DTXSID2045864,25953-17-7,C17H24Cl2N4O,370.132717,Active,34.66558389,1.033686317
DTXSID2045868,3644-61-9,C16H24ClNO,281.154642,Inactive,0,0
DTXSID2045941,61422-45-5,C11H16FN3O3,257.11757,Active,86.64315667,1.600743777
DTXSID2045943,64211-46-7,C18H14Cl4N4O4,489.976916,Active,47.76546909,1.626196089
DTXSID2045945,79307-93-0,C22H25Cl2N3O,417.137468,Active,45.57656987,1.616974401
DTXSID2045993,58-63-9,C10H12N4O5,268.08077,Inactive,0,0
DTXSID2046042,13081-34-0,(C2H4O)nC14H30OS, ,Active,34.74261721,0.872608785
DTXSID2046090,98206-09-8,C12H17ClN2O2,256.097855,Inactive,0,0
DTXSID2046092,103420-77-5,C25H20N4O2,408.158626,Inactive,0,0
DTXSID2046094,107724-20-9,C24H30O6,414.204239,Inactive,0,0
DTXSID2046096,539-15-1,C10H15NO,165.115364,Inactive,0,0
DTXSID2046123,67121-76-0,C19H20FN3,309.164126,Active,40.80883561,1.033686317
DTXSID2046127,92623-83-1,C23H26N2O3,378.194343,Active,42.93187635,1.378486077
DTXSID2046179,152-47-6,C11H12N4O3S,280.063011,Inactive,0,0
DTXSID2046200,5355-16-8,C13H16N4O2,260.127326,Inactive,0,0
DTXSID2046383,1954-79-6,C4H7Cl3N2O2,219.957311,Inactive,0,0
DTXSID2046385,31386-24-0,C19H29N3O2,331.225977,Inactive,0,0
DTXSID2046389,59160-29-1,C14H18N2O5,294.121572,Inactive,0,0
DTXSID2046410,33996-33-7,C7H11NO4,173.068808,Inactive,0,0
DTXSID2046412,72-19-5,C4H9NO3,119.058243,Inactive,0,0
DTXSID2046414,140608-64-6,, ,Inactive,0,0
DTXSID2046418,56-89-3,C6H12N2O4S2,240.023849,Inactive,0,0
DTXSID2046460,1310709-74-0,C22H29ClF2O6,462.162073,Active,124.4027133,1.408540269
DTXSID2046464,673-31-4,C10H13NO2,179.094629,Inactive,0,0
DTXSID2046468,82034-46-6,C24H31ClO7,466.175831,Active,59.08725742,1.734558546
DTXSID2046541,940-69-2,C8H15NOS2,205.059506,Inactive,0,0
DTXSID2046543,2398-81-4,C6H5NO3,139.026943,Inactive,0,0
DTXSID2046545,886-38-4,C15H10O,206.073165,Active,61.52637222,1.356410123
DTXSID2046591,905-97-5,C21H21IN2S2,492.01909,Active,39.26979975,2.304584376
DTXSID2046599,91296-86-5,C21H20ClF2N3O3,435.116126,Inactive,0,0
DTXSID2046628,106463-17-6,C20H29ClN2O5S,444.148571,Active,46.13112638,1.145775957
DTXSID2046670,93793-83-0,C19H29ClN2O4,384.181585,Inactive,0,0
DTXSID2046678,148016-81-3,C15H24N4O6S2,420.113727,Active,65.36781252,1.129711116
DTXSID2046705,666-99-9,C22H40O7,416.277404,Inactive,0,0
DTXSID2046755,72496-41-4,C32H37NO12,627.231576,Inactive,0,0
DTXSID2046882,443-79-8,C6H13NO2,131.094629,Inactive,0,0
DTXSID2046888,16506-27-7,C16H21Cl2N3O2,357.101082,Inactive,0,0
DTXSID2046911,87233-62-3,C25H34N4O9,534.232579,Inactive,0,0
DTXSID2046919,212141-54-3,C20H15ClN4,346.098524,Active,210.2078556,1.033686317
DTXSID2047060,151-10-0,C8H10O2,138.06808,Inactive,0,0
DTXSID2047062,928-95-0,C6H12O,100.088815,Inactive,0,0
DTXSID2047064,501-52-0,C9H10O2,150.06808,Inactive,0,0
DTXSID2047066,3848-24-6,C6H10O2,114.06808,Inactive,0,0
DTXSID2047068,141-12-8,C12H20O2,196.14633,Inactive,0,0
DTXSID2047141,502-72-7,C15H28O,224.214016,Inactive,0,0
DTXSID2047145,541-47-9,C5H8O2,100.052429,Inactive,0,0
DTXSID2047149,4621/4/9,C9H18O,142.135765,Inactive,0,0
DTXSID2047191,126-64-7,C17H22O2,258.16198,Inactive,0,0
DTXSID2047193,141-25-3,C10H20O,156.151415,Active,38.46381996,0.778413812
DTXSID2047195,38462-22-5,C10H18OS,186.107836,Active,54.24053692,0.814605835
DTXSID2047197,13851-11-1,C12H20O2,196.14633,Inactive,0,0
DTXSID2047199,2785-87-7,C10H14O2,166.09938,Inactive,0,0
DTXSID2047222,29548-30-9,C17H28O2,264.20893,Inactive,0,0
DTXSID2047270,253450-09-8,C21H23FN2O3S,402.141342,Inactive,0,0
DTXSID2047272,249296-43-3,C23H27N3O5S2,489.139213,Active,215.466323,1.190339741
DTXSID2047274,113734-18-2,C17H19F3N2O4S,404.101763,Inactive,0,0
DTXSID2047276,194098-25-4,C17H19N3O2,297.147727,Active,29.93071496,2.877310624
DTXSID2047278,214535-77-0,C22H21FN2O3,380.153621,Active,75.95152042,0.850116478
DTXSID2047301,210826-40-7,C20H24N2O5S,404.140593,Inactive,0,0
DTXSID2047303,179465-71-5,C18H17FN2O4,344.117235,Active,313.6102442,0.808924201
DTXSID2047305,NOCAS_47305,C23H25ClN8O5,528.163644,Inactive,0,0
DTXSID2047307,501027-49-2,C23H22N2O4,390.157957,Inactive,0,0
DTXSID2047309,162706-14-1,C19H20N2O2,308.152478,Inactive,0,0
DTXSID2047351,464930-42-5,C42H53ClN4O7S,792.332349,Inactive,0,0
DTXSID2047353,NOCAS_47353,C32H43Cl3N4O3,636.240074,Inactive,0,0
DTXSID2047355,189003-92-7,C24H24FN5O2S,465.163474,Inactive,0,0
DTXSID2047357,288104-79-0,C23H23BrCl2N4O,520.04323,Active,78.68767393,0.786163655
DTXSID2047359,298198-52-4,C14H17BrN2O2,324.047341,Inactive,0,0
DTXSID2047434,1524-88-5,C24H33FO6,436.226117,Active,50.13946323,1.736089148
DTXSID2047436,475-31-0,C26H43NO6,465.309038,Inactive,0,0
DTXSID2047484,13446-18-9,H12MgN2O12,256.024066,Inactive,0,0
DTXSID2047486,1331-81-3,, ,Inactive,0,0
DTXSID2047511,628-97-7,C18H36O2,284.27153,Inactive,0,0
DTXSID2047517,68515-75-3,, ,Inactive,0,0
DTXSID2047519,2349/7/7,C10H20O2,172.14633,Inactive,0,0
DTXSID2047565,2043-57-4,C8H4F13I,473.91501,Inactive,0,0
DTXSID2047567,24817-51-4,C13H18O2,206.13068,Inactive,0,0
DTXSID2047569,2443-58-5,C13H10O,182.073165,Active,135.6680262,0.728560487
DTXSID2047642,115-99-1,C11H18O2,182.13068,Inactive,0,0
DTXSID2047644,119-65-3,C9H7N,129.057849,Inactive,0,0
DTXSID2047646,122-67-8,C13H16O2,204.11503,Inactive,0,0
DTXSID2047648,122-72-5,C11H14O2,178.09938,Inactive,0,0
DTXSID2047694,6119-47-7,C20H29ClN2O4,396.181585,Inactive,0,0
DTXSID2047696,61791-12-6,, ,Inactive,0,0
DTXSID2047721,8014-17-3,, ,Active,29.60078237,0.964456772
DTXSID2047723,828-26-2,C9H18S3,222.057064,Inactive,0,0
DTXSID2047725,90-17-5,C10H9Cl3O2,265.966813,Inactive,0,0
DTXSID2047727,94-86-0,C11H14O2,178.09938,Active,27.04310679,0.636267618
DTXSID2047773,303-25-3,C18H24Cl2N2,338.131654,Active,35.32154463,0.868589144
DTXSID2047775,581-88-4,C20H28N6O4S,448.189275,Inactive,0,0
DTXSID2047777,637-58-1,C17H28ClNO3,329.175771,Active,124.5935859,1.005029524
DTXSID2047779,985-13-7,C24H30ClNO4,431.186336,Active,84.20693937,1.383910387
DTXSID2047804,1538-09-6,C48H56N6O8S2,908.360105,Inactive,0,0
DTXSID2047806,108341-18-0,C12H19NO10,337.100896,Inactive,0,0
DTXSID2047856,1235-82-1,C21H30ClNO,347.201592,Active,45.96079555,1.29121528
DTXSID2047858,16662-46-7,C28H41ClN2O5,520.2704,Active,119.8247582,1.409990755
DTXSID2047931,475575-45-2,C9H17BrN2,232.057512,Inactive,0,0
DTXSID2047933,874-80-6,C9H14BrN,215.030962,Inactive,0,0
DTXSID2047935,6220-15-1,C11H18ClN,199.112777,Active,35.22258625,1.04987994
DTXSID2047937,330671-29-9,C9H20F6NP,287.123756,Inactive,0,0
DTXSID2047939,370865-80-8,C11H20N4,208.168797,Inactive,0,0
DTXSID2048161,75859-03-9,C21H29Cl2N3,393.173853,Inactive,0,0
DTXSID2048167,138472-01-2,C8H13N3O4,215.090606,Inactive,0,0
DTXSID2048379,98717-15-8,C17H27ClN2O,310.181191,Inactive,0,0
DTXSID2048581,220620-09-7,C29H39N5O8,585.279863,Inactive,0,0
DTXSID2048616,927-19-5,C3H7K2O6P,247.925438,Inactive,0,0
DTXSID2048618,28002-18-8,C16H16N2Na2O7S2,458.019432,Inactive,0,0
DTXSID2048660,518048-05-0,C20H21FN6O5,444.155746,Inactive,0,0
DTXSID2048662,120066-54-8,C17H29GdN4O7,559.12773,Inactive,0,0
DTXSID2048666,86197-47-9,C22H32N2O2,356.246378,Inactive,0,0
DTXSID2048745,114856-44-9,C25H30ClN5O3,483.203717,Active,119.682048,1.201339214
DTXSID2048791,145918-75-8,C8H11N3O4,213.074956,Inactive,0,0
DTXSID2048793,616-96-6,C18H27ClN4O6S,462.133983,Inactive,0,0
DTXSID2048795,69956-77-0,C16H18O3,258.125594,Active,27.85374869,1.60032048
DTXSID2048797,2001-81-2,C20H38BrNO2,403.208592,Inactive,0,0
DTXSID2048799,80879-63-6,C17H25NO7,355.163102,Inactive,0,0
DTXSID2048820,139233-53-7,C15H16ClNO4,309.076786,Inactive,0,0
DTXSID2048822,631-27-6,C11H14ClN3O3S,303.04444,Inactive,0,0
DTXSID2048826,21721-92-6,C10H8N4O4,248.054555,Inactive,0,0
DTXSID2048828,31224-92-7,C15H20N2O3,276.147393,Active,93.04555783,1.656990207
DTXSID2048870,29493-77-4,C10H12N2O,176.094963,Inactive,0,0
DTXSID2048872,3616-78-2,C12H17ClF3N,267.100162,Inactive,0,0
DTXSID2048901,1934-71-0,C12H18ClN,211.112777,Inactive,0,0
DTXSID2048905,53152-21-9,C29H42ClNO4,503.280237,Active,66.80318562,2.159015887
DTXSID2048907,795-38-0,C18H23NO3,301.167794,Inactive,0,0
DTXSID2048957,285983-48-4,C31H37N5O3,527.28964,Active,65.11245348,1.171202307
DTXSID2048959,2490-97-3,C7H12N2O4,188.079707,Inactive,0,0
DTXSID2049002,13412-64-1,C19H18Cl2N3NaO6S,509.019106,Inactive,0,0
DTXSID2049006,125-04-2,C25H33NaO8,484.207312,Active,23.26517892,2.981549183
DTXSID2049050,91599-74-5,C28H32ClN3O6,541.197964,Active,142.2007336,1.667407354
DTXSID2049052,200707-85-3,C21H28Cl3N3O2,459.12471,Inactive,0,0
DTXSID2049135,104054-27-5,C14H16N2,212.131349,Inactive,0,0
DTXSID2049210,1210-39-5,C15H12O,208.088815,Active,103.2868139,0.602752792
DTXSID2049212,125652-55-3,C10H16ClN,185.097127,Inactive,0,0
DTXSID2049214,13311-31-4,C10H16IN,277.03274,Inactive,0,0
DTXSID2049216,13820-41-2,Cl4H8N2Pt,370.908951,Inactive,0,0
DTXSID2049218,143314-16-3,C6H11BF4N2,198.095141,Inactive,0,0
DTXSID2049260,2693-46-1,C16H11N,217.089149,Active,154.4846897,0.813226299
DTXSID2049262,2835-99-6,C7H9NO,123.068414,Active,79.39354246,0.606988106
DTXSID2049264,292140-86-4,C7H13F6N2P,270.072054,Inactive,0,0
DTXSID2049266,307492-75-7,C7H13BF4N2,212.110791,Inactive,0,0
DTXSID2049268,326-06-7,C10H7F3O2,216.039814,Active,55.02174703,0.665199655
DTXSID2049341,638-45-9,C6H13I,212.0062,Inactive,0,0
DTXSID2049343,65039-08-9,C6H11BrN2,190.010561,Inactive,0,0
DTXSID2049345,65350-59-6,C10H16BrN,229.046613,Inactive,0,0
DTXSID2049347,69227-51-6,C7H16BrN,193.046613,Inactive,0,0
DTXSID2049349,693-67-4,C11H23Br,234.098314,Inactive,0,0
DTXSID2049391,817629-57-5,C44H85O3PS,724.595705,Inactive,0,0
DTXSID2049393,101-85-9,C14H20O,204.151415,Inactive,0,0
DTXSID2049395,111-24-0,C5H10Br2,227.914926,Inactive,0,0
DTXSID2049397,112-82-3,C16H33Br,304.176564,Inactive,0,0
DTXSID2049399,120-29-6,C8H15NO,141.115364,Inactive,0,0
DTXSID2049420,1956/5/3,C4H3Cl2N3,162.970403,Inactive,0,0
DTXSID2049422,614-39-1,C13H22ClN3O,271.14514,Inactive,0,0
DTXSID2049424,6674-22-2,C9H16N2,152.131349,Inactive,0,0
DTXSID2049426,1970/11/1,C8H7BrO,197.968028,Active,45.31418345,0.584719271
DTXSID2049428,7364-25-2,C7H6N2O,134.048013,Inactive,0,0
DTXSID2049470,NOCAS_49470,, ,Inactive,0,0
DTXSID2049472,NOCAS_49472,, ,Inactive,0,0
DTXSID2049474,NOCAS_49474,, ,Inactive,0,0
DTXSID2049476,NOCAS_49476,, ,Inactive,0,0
DTXSID2049478,NOCAS_49478,, ,Inactive,0,0
DTXSID2049501,NOCAS_49501,, ,Inactive,0,0
DTXSID2049503,NOCAS_49503,, ,Inactive,0,0
DTXSID2049505,NOCAS_49505,, ,Inactive,0,0
DTXSID2049507,NOCAS_49507,, ,Inactive,0,0
DTXSID2049509,NOCAS_49509,, ,Active,27.5497563,2.493336869
DTXSID2049551,NOCAS_49551,, ,Active,27.88180515,0.901338388
DTXSID2049553,NOCAS_49553,, ,Inactive,0,0
DTXSID2049555,NOCAS_49555,, ,Inactive,0,0
DTXSID2049557,NOCAS_49557,, ,Inactive,0,0
DTXSID2049559,NOCAS_49559,, ,Inactive,0,0
DTXSID2050403,611-14-3,C9H12,120.0939,Inactive,0,0
DTXSID2051477,104-82-5,C8H9Cl,140.039278,Inactive,0,0
DTXSID2051631,124-05-0,C4H4Cl2O4,185.948664,Inactive,0,0
DTXSID2051687,134-85-0,C13H9ClO,216.034193,Inactive,0,0
DTXSID2051716,142-08-5,C5H5NO,95.037114,Inactive,0,0
DTXSID2051764,1609-47-8,C6H10O5,162.052823,Inactive,0,0
DTXSID2051895,2402-78-0,C5H3Cl2N,146.964255,Inactive,0,0
DTXSID2052281,611-59-6,C7H8N4O2,180.064726,Inactive,0,0
DTXSID2052283,6117-91-5,C4H8O,72.057515,Inactive,0,0
DTXSID2052289,615-20-3,C7H4ClNS,168.975298,Inactive,0,0
DTXSID2052310,626-64-2,C5H5NO,95.037114,Inactive,0,0
DTXSID2052447,7005-72-3,C12H9ClO,204.034193,Inactive,0,0
DTXSID2052574,83-56-7,C10H8O2,160.052429,Active,34.30051984,0.935616072
DTXSID2052603,89-75-8,C7H3Cl3O,207.924948,Inactive,0,0
DTXSID2052607,1991/10/1,C8H10O3,154.062994,Inactive,0,0
DTXSID2057601,3459-20-9,C13H14N3NaO4S,331.060271,Inactive,0,0
DTXSID2057603,NOCAS_57603,C23H32N4O4,428.242356,Inactive,0,0
DTXSID2057607,100-76-5,C7H13N,111.104799,Inactive,0,0
DTXSID2057609,1028-33-7,C13H20N4O2,264.158626,Inactive,0,0
DTXSID2057651,154-82-5,C28H38N2O6,498.272987,Active,27.93361629,1.640934709
DTXSID2057653,156601-79-5,C18H19N3O2S,341.119798,Active,79.13322208,1.041893241
DTXSID2057655,146961-77-5,C27H29F3N6O8S,654.171968,Active,133.8314866,1.166974002
DTXSID2057657,1609-66-1,C14H20N2O,232.157563,Inactive,0,0
DTXSID2057659,163252-36-6,C10H13FN2O5,260.08085,Inactive,0,0
DTXSID2057730,39219-28-8,C22H32O2,328.24023,Active,24.92860391,1.188466535
DTXSID2057732,3943-89-3,C9H10O4,182.057909,Inactive,0,0
DTXSID2057734,39512-50-0,C10H13ClN2,196.076726,Inactive,0,0
DTXSID2057736,40187-51-7,C9H9NO3,179.058243,Inactive,0,0
DTXSID2057738,40807-61-2,C11H15NO,177.115364,Inactive,0,0
DTXSID2057780,56917-29-4,C14H9F,196.068828,Inactive,0,0
DTXSID2057782,599-88-2,C11H12N4O2S,264.068097,Inactive,0,0
DTXSID2057784,6092-18-8,C13H16N4O3S,308.094312,Inactive,0,0
DTXSID2057786,620-20-2,C7H6Cl2,159.984656,Inactive,0,0
DTXSID2057788,6320/3/2,C6H5ClS,143.980049,Inactive,0,0
DTXSID2057811,71574-35-1,C10H13NO4,211.084458,Inactive,0,0
DTXSID2057813,7303-78-8,C13H18ClN3O,267.11384,Active,31.38425836,0.923506485
DTXSID2057815,73573-42-9,C33H38N2O8,590.262816,Active,77.02415812,0.87881342
DTXSID2057817,73803-48-2,C16H20ClN3O3S,369.09139,Inactive,0,0
DTXSID2057819,74517-78-5,C20H24N2O,308.188863,Active,46.69410502,1.134891147
DTXSID3020043,97-59-6,C4H6N4O3,158.04399,Inactive,0,0
DTXSID3020047,1957/6/7,C4H5NS,99.01427,Active,46.84230167,0.778413812
DTXSID3020091,142-04-1,C6H8ClN,129.034527,Active,34.01247596,0.648925837
DTXSID3020093,20265-97-8,C7H10ClNO,159.045092,Active,56.68216875,0.66147936
DTXSID3020095,84-65-1,C14H8O2,208.052429,Inactive,0,0
DTXSID3020097,140-57-8,C15H23ClO4S,334.100558,Inactive,0,0
DTXSID3020099,10190-99-5,C17H10NNaO7,363.035496,Inactive,0,0
DTXSID3020120,123524-52-7,C33H34N4O6,582.247835,Active,132.3339526,1.824799956
DTXSID3020122,86-50-0,C10H12N3O3PS2,317.005771,Active,80.44325521,0.960566072
DTXSID3020128,144-02-5,C8H11N2NaO3,206.066736,Inactive,0,0
DTXSID3020205,85-68-7,C19H20O4,312.136159,Inactive,0,0
DTXSID3020207,88-85-7,C10H12N2O5,240.074621,Active,88.76501242,0.982934438
DTXSID3020209,94-26-8,C11H14O3,194.094294,Active,58.80398233,0.529037531
DTXSID3020257,120-80-9,C6H6O2,110.036779,Active,34.30358128,1.296084396
DTXSID3020330,87-29-6,C16H15NO2,253.110279,Active,127.6274043,1.146329526
DTXSID3020332,77-92-9,C6H8O7,192.027003,Inactive,0,0
DTXSID3020336,637-07-0,C12H15ClO3,242.070972,Inactive,0,0
DTXSID3020380,853-23-6,C21H30O3,330.219495,Active,68.06630571,0.691982855
DTXSID3020384,1950/2/2,C22H29FO5,392.199902,Active,52.53890635,0.879578519
DTXSID3020413,1996/12/8,C3H5Br2Cl,233.844654,Inactive,0,0
DTXSID3020415,106-93-4,C2H4Br2,185.867976,Inactive,0,0
DTXSID3020419,1067-33-0,C12H24O4Sn,352.069661,Active,30.93972053,2.379587537
DTXSID3020463,617-84-5,C5H11NO,101.084064,Inactive,0,0
DTXSID3020465,56-53-1,C18H20O2,268.14633,Active,174.85826,0.678934579
DTXSID3020540,102-09-0,C13H10O3,214.062994,Inactive,0,0
