CASRN,DTXSID,Name,Formula,PPARg_Emax,PPARg_assay,LXR_Emax,LXR_assay,FXR_Emax,FXR_assay,PXR_Emax,PXR_assay,BCF,LogP,Predicted concentration in human blood (μM),
78-63-7,DTXSID9025110,"2,5-Dimethyl-2,5-di-(tert-butylperoxy)hexane",C16H34O4,0,0,1.0752411,0.390359483,0,0,0,0,2177.71,5.46456,0.00173,
78-67-1,DTXSID1026457,Azobisisobutyronitrile,C8H12N4,0,0,0,0,0,0,0,0,22.3872,1.10077,0.00155,
78-69-3,DTXSID7029110,"3,7-Dimethyloctanol-3",C10H22O,0,0,0,0,0,0,0,0,21.7771,3.6071,0.000185,
78-70-6,DTXSID7025502,Linalool,C10H18O,0,0,0,0,0,0,0,0,13.8038,2.97116,3.17E-05,
78-76-2,DTXSID7021499,2-Bromobutane,C4H9Br,0,0,,,0,0,0,0,8.57038,2.67347,0.00467,
78-77-3,DTXSID1052539,1-Bromo-2-methylpropane,C4H9Br,,,0,0,,,0,0,7.7983,2.84324,0.00104,
78-79-5,DTXSID2020761,Isoprene,C5H8,0,0,,,0,0,0,0,11.1686,2.41803,0.000965,
78-82-0,DTXSID5026461,2-Methylpropanenitrile,C4H7N,0,0,0,0,0,0,0,0,4.06443,0.461942,5.82E-05,
78-83-1,DTXSID0021759,2-Methyl-1-propanol,C4H10O,0,0,0,0,0,0,0,0,2.35505,0.761386,0.00597,
78-84-2,DTXSID9021635,2-Methylpropanal,C4H8O,0,0,0,0,0,0,0,0, ,0.710917,0.00123,
78-86-4,DTXSID9023966,2-Chlorobutane,C4H9Cl,0,0,,,0,0,0,0,14.7231,2.32838,0.00195,
78-87-5,DTXSID0020448,"1,2-Dichloropropane",C3H6Cl2,0,0,,,0,0,0,0,9.68278,1.98521,0.000105,
78-88-6,DTXSID6025012,"2,3-Dichloro-1-propene",C3H4Cl2,0,0,0,0,0,0,0,0,10.0462,1.99478,0.00125,
78-90-0,DTXSID4021761,"1,2-Diaminopropane",C3H10N2,0,0,,,0,0,0,0,0.843335,-1.58708,2.89E-05,
78-92-2,DTXSID9021762,2-Butanol,C4H10O,0,0,,,0,0,0,0,2.92,0.611756,7.16E-05,
78-93-3,DTXSID3021516,Methyl ethyl ketone,C4H8O,0,0,0,0,0,0,0,0,2.66686,0.291427,0.000287,
78-94-4,DTXSID3025671,Methyl vinyl ketone,C4H6O,0,0,,,0,0,0,0,1.08143,0.904737,0.00646,
78-95-5,DTXSID0021547,1-Chloropropan-2-one,C3H5ClO,0,0,,,0,0,0,0,2.48313,0.824998,0.000269,
78-97-7,DTXSID6025432,Lactonitrile,C3H5NO,,,0,0,,,0,0,1.48936,-0.937123,4.18E-05,
79-00-5,DTXSID5021380,"1,1,2-Trichloroethane",C2H3Cl3,0,0,0,0,0,0,0,0,12.3027,1.97957,0.00148,
1/6/1979,DTXSID0021383,Trichloroethylene,C2HCl3,0,0,,,0,0,0,0,22.8034,2.51389,7.17E-05,
4/9/1979,DTXSID4026472,Chloroacetyl chloride,C2H2Cl2O,0,0,,,0,0,0,0, ,1.54345,0.00253,
6/1/1979,DTXSID5020027,Acrylamide,C3H5NO,0,0,-0.79585826,0.849044732,0,0,0,0,0.827942,-0.670491,0.00021,
7/2/1979,DTXSID9041570,Chloroacetamide,C2H4ClNO,,,0,0,,,0,0,0.845279,-0.530222,2.30E-05,
10/7/1979,DTXSID0039229,Acrylic acid,C3H4O2,,,,,,,,,0.707946,0.350125,0.00146,
79-16-3,DTXSID0047167,N-Methylacetamide,C3H7NO,0,0,0,0,0,0,0,0,0.598412,-1.05069,2.33E-05,
