CASRN,DTXSID,Name,Formula,PPARg_Emax,PPARg_assay,LXR_Emax,LXR_assay,FXR_Emax,FXR_assay,PXR_Emax,PXR_assay,BCF,LogP,Predicted concentration in human blood (μM),
78-96-6,DTXSID9021764,1-Amino-2-propanol,C3H9NO,0,0,0,0,0,0,0,0,0.97051,-0.963546,8.51E-06,
97-00-7,DTXSID6020278,"1-Chloro-2,4-dinitrobenzene",C6H3ClN2O4,0,0,1.129230495,1.862018273,55.61629225,0.771347865,0,0,12.4165,2.1691,2.65E-05,
107-06-2,DTXSID6020438,"1,2-Dichloroethane",C2H4Cl2,0,0,0,0,0,0,0,0,8.27942,1.47638,0.000706,
120-82-1,DTXSID0021965,"1,2,4-Trichlorobenzene",C6H3Cl3,0,0,0,0,0,0,0,0,1233.1,3.99445,0.00317,
107-20-0,DTXSID4020292,Chloroacetaldehyde,C2H3ClO,0,0,1.822359773,0.65693546,0,0,0,0, ,0.541412,0.000348,
107-07-3,DTXSID1021877,2-Chloroethanol,C2H5ClO,0,0,0,0,0,0,0,0,1.77828,0.0292809,0.00207,
328-50-7,DTXSID5033179,alpha-Ketoglutaric acid,C5H6O5,0,0,,,0,0,0,0,0.0590201,-1.39487,0.00259,
583-78-8,DTXSID7025003,"2,5-Dichlorophenol",C6H4Cl2O,0,0,0,0,0,0,0,0,43.451,3.0596,0.0025,
99-50-3,DTXSID4021212,"3,4-Dihydroxybenzoic acid",C7H6O4,0,0,,,0,0,0,0,1.05196,0.860561,0.00176,
100-54-9,DTXSID1026665,3-Pyridinecarbonitrile,C6H4N2,0,0,0,0,0,0,0,0,3.38065,0.361324,0.000508,
501-52-0,DTXSID2047064,Hydrocinnamic acid,C9H10O2,0,0,,,0,0,0,0,2.56448,1.84183,0.00122,
12/2/1956,DTXSID6035106,4-Aminobutanoic acid,C4H9NO2,,,,,,,,,0.698232,-3.16697,0.0012,
99-96-7,DTXSID3026647,4-Hydroxybenzoic acid,C7H6O3,0,0,0,0,0,0,0,0,1.53815,1.57746,1.63E-05,
107-21-1,DTXSID8020597,Ethylene glycol,C2H6O2,0,0,0,0,0,0,0,0,0.74131,-1.35982,7.93E-05,
64-19-7,DTXSID5024394,Acetic acid,C2H4O2,0,0,0,0,0,0,0,0,0.599791,-0.170189,0.00287,
75-07-0,DTXSID5039224,Acetaldehyde,C2H4O,0,0,0,0,0,0,55.93101238,1.834955993, ,-0.33813,0.00492,
60-35-5,DTXSID7020005,Acetamide,C2H5NO,0,0,0,0,0,0,0,0,0.636796,-1.17478,7.20E-05,
513-86-0,DTXSID0024399,Acetoin,C4H8O2,0,0,0,0,0,0,0,0,1.11429,-0.158187,3.62E-05,
67-64-1,DTXSID8021482,Acetone,C3H6O,0,0,,,0,0,0,0,1.91426,-0.23752,0.00514,
73-24-5,DTXSID6022557,Adenine,C5H5N5,0,0,0,0,0,0,25.23702527,1.23720903,1.1324,-0.0907432,4.60E-05,
124-04-9,DTXSID7021605,Hexanedioic acid,C6H10O4,0,0,0,0,0,0,0,0,0.23,0.0798162,0.000662,
97-59-6,DTXSID3020043,Allantoin,C4H6N4O3,0,0,0,0,0,0,0,0,0.0157761,-1.35991,0.00376,
118-92-3,DTXSID8020094,Anthranilic acid,C7H7NO2,0,0,,,0,0,0,0,0.816582,1.20837,0.00192,
100-52-7,DTXSID8039241,Benzaldehyde,C7H6O,0,0,,,0,0,0,0,6.16,1.47434,0.000744,
71-43-2,DTXSID3039242,Benzene,C6H6,0,0,,,0,0,0,0,34.0408,2.13105,5.20E-05,
65-85-0,DTXSID6020143,Benzoic acid,C7H6O2,0,0,0,0,0,0,0,0,1.47571,1.87054,0.000222,
100-51-6,DTXSID5020152,Benzyl alcohol,C7H8O,0,0,0,0,0,0,0,0,6.16,1.10165,0.000211,
107-43-7,DTXSID8022666,Betaine,C5H11NO2,0,0,0,0,0,0,0,0, ,-0.125518,6.89E-05,
123-72-8,DTXSID8021513,Butyraldehyde,C4H8O,0,0,0,0,0,0,0,0, ,0.879054,0.00322,
513-85-9,DTXSID8041321,"2,3-Butanediol",C4H10O2,0,0,0,0,0,0,0,0,1.38038,-0.916022,0.00147,
71-36-3,DTXSID1021740,1-Butanol,C4H10O,0,0,0,0,0,0,0,0,3.34965,0.879541,0.000122,
107-92-6,DTXSID8021515,Butanoic acid,C4H8O2,0,0,0,0,0,0,0,0,1.41,0.790824,0.006,
120-80-9,DTXSID3020257,"1,2-benzenediol",C6H6O2,0,0,0,0,0,0,34.30358128,1.296084396,5.05825,0.879361,8.75E-05,
143-50-0,DTXSID1020770,Kepone,C10Cl10O,0,0,1.72966176,2.170647571,0,0,53.22015191,1.534673172, ,5.41094,0.00168,
1979/11/8,DTXSID4020901,Chloroacetic acid,C2H3ClO2,0,0,,,0,0,0,0,0.77983,0.220273,0.00289,
104-55-2,DTXSID1024835,3-Phenylprop-2-enal,C9H8O,0,0,,,0,0,0,0, ,1.89921,0.00147,
104-54-1,DTXSID9041491,3-Phenyl-2-propen-1-ol,C9H10O,0,0,0,0,0,0,0,0,7.2277,1.94886,0.00626,
77-92-9,DTXSID3020332,Citric acid,C6H8O7,0,0,0,0,0,0,0,0,0.0345939,-1.64024,0.000193,
91-64-5,DTXSID7020348,Coumarin,C9H6O2,0,0,0,0,0,0,0,0, ,1.39143,0.00116,
536-60-7,DTXSID0021626,4-Isopropylbenzyl alcohol,C10H14O,0,0,0,0,0,0,0,0,15.0314,2.51955,0.000132,
122-03-2,DTXSID9021974,4-Isopropylbenzaldehyde,C10H12O,0,0,0,0,0,0,0,0, ,2.69687,0.00489,
7786-61-0,DTXSID7052529,2-Methoxy-4-vinylphenol,C9H10O2,,,0,0,,,0,0,16.0694,2.22529,0.00337,
95-48-7,DTXSID8021808,o-Cresol,C7H8O,0,0,0,0,0,0,0,0,11.3501,1.95091,0.000108,
69-72-7,DTXSID7026368,Salicylic acid,C7H6O3,0,0,0,0,0,0,0,0,1.18,2.26129,0.000237,
108-39-4,DTXSID6024200,m-Cresol,C7H8O,0,0,0,0,0,0,0,0,11.3501,1.95957,0.00514,
111-65-9,DTXSID0026882,Octane,C8H18,0,0,,,0,0,0,0,580.764,5.17863,4.68E-05,
149-91-7,DTXSID0020650,Gallic acid,C7H6O5,0,0,,,0,0,0,0,0.516416,0.69942,4.58E-05,
124-07-2,DTXSID3021645,Octanoic acid,C8H16O2,0,0,0,0,0,0,0,0,9.54993,3.04853,0.00176,
111-16-0,DTXSID5021598,Heptanedioic acid,C7H12O4,0,0,,,0,0,0,0,0.212814,0.609227,0.00102,
79-46-9,DTXSID6020981,2-Nitropropane,C3H7NO2,0,0,0,0,0,0,0,0, ,1.13979,0.000177,
123-30-8,DTXSID3024499,4-Aminophenol,C6H7NO,0,0,,,0,0,0,0,7.03072,0.043623,0.00207,
535-80-8,DTXSID9024770,3-Chlorobenzoic acid,C7H5ClO2,0,0,,,0,0,0,0,2.81838,2.6766,8.80E-06,
124-13-0,DTXSID3021643,Octanal,C8H16O,0,0,0,0,0,0,61.83911244,0.778413812, ,2.76889,0.00208,
5/1/1990,DTXSID0023113,2-Methoxyphenol,C7H8O2,0,0,0,0,0,0,0,0,9.2683,1.31993,0.00164,
495-69-2,DTXSID9046073,Hippuric acid,C9H9NO3,0,0,,,0,0,0,0,0.656145,0.309926,0.000132,
6915-15-7,DTXSID0027640,Malic acid,C4H6O5,0,0,0,0,0,0,0,0,0.150661,-1.2627,6.52E-06,
123-38-6,DTXSID2021658,Propanal,C3H6O,0,0,,,0,0,0,0, ,0.589061,0.00183,
555-16-8,DTXSID5022061,4-Nitrobenzaldehyde,C7H5NO3,0,0,,,0,0,51.03676014,0.629470921, ,1.56061,4.36E-05,
4408-78-0,DTXSID2045107,Phosphonoacetic acid,C2H5O5P,0,0,,,0,0,0,0,0.183231,-0.837605,0.00039,
60-32-2,DTXSID0020070,Aminocaproic acid,C6H13NO2,0,0,,,0,0,0,0,0.61235,-2.94758,0.00224,
132-64-9,DTXSID2021993,Dibenzofuran,C12H8O,0,0,0,0,0,0,0,0,559.758,4.12062,0.00019,
60-27-5,DTXSID8045987,Creatinine,C4H7N3O,0,0,,,0,0,0,0,0.195884,-1.75668,1.32E-05,
3374-22-9,DTXSID5046988,DL-Cysteine,C3H7NO2S,0,0,,,0,0,0,0, ,-2.48586,2.89E-05,
71-30-7,DTXSID4044456,Cytosine,C4H5N3O,0,0,0,0,0,0,0,0,0.644169,-1.72812,2.38E-05,
50-21-5,DTXSID7023192,Lactic acid,C3H6O3,0,0,0,0,0,0,0,0,0.403645,-0.720713,0.000312,
609-36-9,DTXSID9041104,DL-Proline,C5H9NO2,,,,,,,,,0.65013,-2.54086,0.000121,
431-03-8,DTXSID6021583,"2,3-Butanedione",C4H6O2,0,0,0,0,0,0,0,0,0.954993,-1.33587,0.000437,
119-84-6,DTXSID2020474,"3,4-Dihydrocoumarin",C9H8O2,0,0,0,0,0,0,0,0, ,1.37498,9.46E-06,
31519-22-9,DTXSID0037730,"1,4-Dihydroxy-2-naphthoic acid",C11H8O4,60.63492846,1.012152906,1.190445667,0.997657813,0,0,35.98724195,2.133237476,1.33352,2.16211,0.00082,
124-40-3,DTXSID5024057,Dimethylamine,C2H7N,0,0,0,0,0,0,0,0,1.07,-0.379175,9.73E-05,
67-68-5,DTXSID2021735,Dimethyl sulfoxide,C2H6OS,0,0,0,0,0,0,0,0,1.43549,-1.34841,0.000623,
51-61-6,DTXSID6022420,Dopamine,C8H11NO2,0,0,,,0,0,0,0,1.47571,-0.979542,2.01E-05,
141-43-5,DTXSID6022000,Ethanolamine,C2H7NO,0,0,0,0,0,0,0,0,0.66,-1.31189,0.00195,
609-14-3,DTXSID2033493,Ethyl-2-methyl acetoacetate,C7H12O3,0,0,,,0,0,0,0,2.6485,0.793824,0.0001,
64-17-5,DTXSID9020584,Ethanol,C2H6O,0,0,,,0,0,0,0,1.25893,-0.309717,0.000132,
12/7/1975,DTXSID8025337,Formamide,CH3NO,0,0,0,0,0,0,0,0,0.308319,-1.50846,0.00467,
58-89-9,DTXSID2020686,Lindane,C6H6Cl6,0,0,0,0,0,0,47.86956098,0.716443951,157.761,3.71918,0.000934,
110-94-1,DTXSID2021654,Glutaric acid,C5H8O4,0,0,0,0,0,0,0,0,0.25704,-0.289711,0.000462,
56-40-6,DTXSID9020667,Glycine,C2H5NO2,0,0,,,0,0,0,0,0.287078,-3.20273,0.00258,
56-81-5,DTXSID9020663,Glycerol,C3H8O3,0,0,0,0,0,0,0,0,0.566239,-1.86013,5.92E-05,
79-14-1,DTXSID0025363,Glycolic acid,C2H4O3,0,0,0,0,0,0,0,0,0.311889,-1.11093,0.000155,
51-45-6,DTXSID4023125,Histamine,C5H9N3,0,0,,,0,0,0,0,1.33352,-0.698178,0.000723,
123-31-9,DTXSID7020716,Hydroquinone,C6H6O2,0,0,0,0,0,0,50.02293864,0.738070803,13.43,0.593337,0.00233,
68-94-0,DTXSID8045983,Hypoxanthine,C5H4N4O,0,0,,,0,0,0,0,1.04713,-1.10887,2.70E-05,
443-79-8,DTXSID2046882,DL-Isoleucine,C6H13NO2,0,0,,,0,0,0,0, ,-1.71877,0.00143,
288-32-4,DTXSID2029616,Imidazole,C3H4N2,0,0,0,0,0,0,0,0,0.937562,-0.0796874,5.60E-05,
120-72-9,DTXSID0020737,Indole,C8H7N,0,0,0,0,0,0,0,0,14.7,2.14105,2.55E-05,
87-51-4,DTXSID5020738,Indole-3-acetic acid,C10H9NO2,0,0,0,0,0,0,0,0,2.12814,1.41111,0.00148,
392-12-1,DTXSID3042053,Indole-3-pyruvic acid,C11H9NO3,0,0,,,0,0,60.34223048,0.798960915,1.38995,1.51965,0.00206,
97-65-4,DTXSID2026608,Methylenebutanedioic acid,C5H6O4,0,0,0,0,0,0,0,0,0.311889,-0.26055,0.00254,
87-99-0,DTXSID7042514,Xylitol,C5H12O5,0,0,,,0,0,0,0,0.141906,-2.45844,0.000622,
940-69-2,DTXSID2046541,DL-Lipoamide,C8H15NOS2,0,0,,,0,0,0,0,3.86367,1.57225,0.000175,
1077-28-7,DTXSID7025508,(+-)-Lipoic acid,C8H14O2S2,0,0,0,0,0,0,0,0,3.35738,2.24942,0.000157,
141-82-2,DTXSID7021659,Propanedioic acid,C3H4O4,0,0,,,0,0,0,0,0.205116,-0.811159,0.00348,
133-37-9,DTXSID5046986,dl-Tartaric acid,C4H6O6,0,0,,,0,0,0,0, , ,0.00223,
59-51-8,DTXSID9020821,DL-Methionine,C5H11NO2S,,,,,,,,,0.472063,-1.86786,0.00697,
78-98-8,DTXSID0021628,Methyl glyoxal,C3H4O2,,,0,0,,,0,0, ,-0.278445,9.41E-05,
67-56-1,DTXSID2021731,Methanol,CH4O,0,0,,,0,0,0,0,0.530884,-0.768744,0.00211,
87-89-8,DTXSID7023146,myo-Inositol,C6H12O6,0,0,0,0,0,0,0,0,0.202302,-2.44001,0.000867,
73-31-4,DTXSID1022421,Melatonin,C13H16N2O2,0,0,0,0,0,0,0,0,3.55631,0.611809,4.33E-05,
103-84-4,DTXSID2022543,Acetanilide,C8H9NO,0,0,,,0,0,0,0,2.24388,1.16256,2.92E-05,
91-20-3,DTXSID8020913,Naphthalene,C10H8,0,0,0,0,0,0,0,0,244.67,3.29634,0.000164,
98-92-0,DTXSID2020929,Niacinamide,C6H6N2O,0,0,0,0,0,0,0,0,1.40929,-0.369796,0.00102,
59-67-6,DTXSID1020932,Nicotinic acid,C6H5NO2,0,0,0,0,0,0,0,0,1.04954,0.357954,7.23E-05,
121-69-7,DTXSID2020507,"N,N-Dimethylaniline",C8H11N,0,0,0,0,0,0,0,0,16.2555,2.31112,0.00222,
111-87-5,DTXSID7021940,1-Octanol,C8H18O,0,0,0,0,0,0,0,0,48.9779,2.99985,0.00164,
65-86-1,DTXSID0025814,Orotic acid,C5H4N2O4,0,0,,,0,0,0,0,0.54325,-0.830054,0.00511,
328-42-7,DTXSID8021646,2-Oxobutanedioic acid,C4H4O5,0,0,,,0,0,0,0,0.0797995,-0.972051,0.00169,
144-62-7,DTXSID0025816,Oxalic acid,C2H2O4,0,0,0,0,0,0,0,0,0.172187,-0.85548,4.42E-05,
150-13-0,DTXSID6024466,4-Aminobenzoic acid,C7H7NO2,0,0,0,0,0,0,0,0,1.0666,0.824077,1.12E-05,
100-02-7,DTXSID0021834,4-Nitrophenol,C6H5NO3,0,0,0,0,0,0,0,0,7.65597,1.91211,0.00552,
10/3/1957,DTXSID2021602,Hexadecanoic acid,C16H32O2,0,0,0,0,0,0,0,0,23.9332,7.17036,0.00054,
56-38-2,DTXSID7021100,Parathion,C10H14NO5PS,0,0,0,0,0,0,84.64836168,0.674271169,68.0769,3.82965,6.87E-05,
87-86-5,DTXSID7021106,Pentachlorophenol,C6HCl5O,0,0,0.777996692,1.096278099,0,0,152.6947706,0.608294463,899.498,5.11878,5.82E-05,
150-30-1,DTXSID9023463,DL-Phenylalanine,C9H11NO2,,,,,,,,,1.09396,-1.38113,0.00228,
1/8/1985,DTXSID6024254,Phenanthrene,C14H10,0,0,0.70641323,0.541725857,0,0,25.19539143,0.778413812,633.87,4.46529,0.00451,
108-95-2,DTXSID5021124,Phenol,C6H6O,0,0,0,0,0,0,0,0,7.60326,1.46171,3.41E-05,
156-06-9,DTXSID1042281,Phenylpyruvic acid,C9H8O3,0,0,,,0,0,0,0,1.04954,1.68554,0.000565,
122-78-1,DTXSID3021483,Phenylacetaldehyde,C8H8O,0,0,0,0,0,0,31.1562442,0.665705211, ,1.77993,0.00123,
103-82-2,DTXSID2021656,Phenylacetic acid,C8H8O2,0,0,0,0,0,0,0,0,3.2961,1.41699,0.000574,
88-99-3,DTXSID8021484,Phthalic acid,C8H6O4,0,0,,,0,0,0,0,0.465586,0.749604,0.00298,
98-98-6,DTXSID7031903,Picolinic acid,C6H5NO2,0,0,,,0,0,0,0,1.03276,0.717095,0.000994,
57-55-6,DTXSID0021206,"1,2-Propylene glycol",C3H8O2,0,0,0,0,0,0,0,0,1.07647,-0.918877,8.81E-05,
71-23-8,DTXSID2021739,1-Propanol,C3H8O,0,0,0,0,0,0,0,0,2.21309,0.248727,0.00323,
9/4/1979,DTXSID8025961,Propionic acid,C3H6O2,,,0,0,,,0,0,0.77983,0.330877,0.00194,
98-96-4,DTXSID9021215,Pyrazinamide,C5H5N3O,0,0,0,0,0,0,0,0,0.545758,-0.600653,9.98E-05,
110-86-1,DTXSID9021924,Pyridine,C5H5N,0,0,,,0,0,0,0,3.17687,0.651222,6.92E-05,
66-72-8,DTXSID4046020,Pyridoxal,C8H9NO3,0,0,,,0,0,0,0, ,-0.265652,0.00177,
529-96-4,DTXSID3046825,Pyridoxamine phosphate,C8H13N2O5P,,,,,,,,,0.907821,0.161382,3.13E-06,
65-23-6,DTXSID4023541,Pyridoxine,C8H11NO3,0,0,0,0,0,0,0,0,1.00462,-0.769529,0.00321,
87-66-1,DTXSID6025983,Pyrogallol,C6H6O3,0,0,,,0,0,0,0,3.155,0.855543,0.00182,
127-17-3,DTXSID2021650,Pyruvic acid,C3H4O3,0,0,0,0,0,0,0,0,0.242661,-0.20226,5.54E-05,
89-00-9,DTXSID8041327,Quinolinic acid,C7H5NO4,0,0,0,0,0,0,0,0,0.349945,0.263961,0.000168,
2387-59-9,DTXSID9022738,Carbocysteine,C5H9NO4S,0,0,,,0,0,0,0,0.064121,-0.757085,0.00102,
110-15-6,DTXSID6023602,Butanedioic acid,C4H6O4,0,0,0,0,0,0,0,0,0.299916,-0.589688,0.000221,
107-35-7,DTXSID3021304,l-Taurine,C2H7NO3S,0,0,,,0,0,0,0,0.457088,-1.91164,0.00275,
110-01-0,DTXSID3047760,Tetrahydrothiophene,C4H8S,,,0,0,,,0,0,6.09537,1.61054,0.00109,
11/1/1968,DTXSID8026141,Thioglycolic acid,C2H4O2S,0,0,0,0,0,0,0,0, ,0.0901028,6.38E-06,
65-71-4,DTXSID4052342,Thymine,C5H6N2O2,,,0,0,,,0,0,0.254097,-0.620724,0.000207,
137-00-8,DTXSID3044382,Thiamine thiozole,C6H9NOS,0,0,,,0,0,0,0,3.22849,1.06022,0.000426,
108-88-3,DTXSID7021360,Toluene,C7H8,0,0,,,0,0,0,0,66.55,2.72879,0.00257,
75-50-3,DTXSID2026238,Trimethylamine,C3H9N,0,0,0,0,0,0,0,0,2.10378,0.160553,0.00103,
12/6/1954,DTXSID0021418,DL-Tryptophan,C11H12N2O2,0,0,,,0,0,0,0,1.27938,-1.04732,0.000303,
66-22-8,DTXSID4021424,Uracil,C4H4N2O2,0,0,,,0,0,0,0,0.301301,-1.06946,0.00481,
69-93-2,DTXSID3042508,Uric acid,C5H4N4O3,,,0,0,,,,,0.10666,-2.16757,0.00113,
57-13-6,DTXSID4021426,Urea,CH4N2O,0,0,0,0,0,0,0,0,0.349945,-1.88328,0.00214,
121-33-5,DTXSID0021969,4-Hydroxy-3-methoxybenzaldehyde,C8H8O3,0,0,0,0,0,0,0,0, ,1.19255,0.00246,
1490-04-6,DTXSID8029650,Menthol,C10H20O,0,0,0,0,0,0,0,0,26.26,3.34258,0.000778,
66-71-7,DTXSID1025857,"1,10-Phenanthroline",C12H8N2,0,0,0,0,82.72829595,2.133645775,127.969591,1.985048409,71.1214,1.78611,5.28E-05,
85532-75-8,DTXSID7041097,1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide,C21H21ClN2O,0,0,3.162112139,1.07140499,0,0,104.5939449,2.205319368,142.561,4.79288,0.00113,
6640-24-0,DTXSID9045138,1-(3-Chlorophenyl)piperazine,C10H13ClN2,0,0,,,0,0,0,0,20.0447,2.10787,0.00545,
25371-96-4,DTXSID9045217,1-(2-Trifluoromethylphenyl)imidazole,C10H7F3N2,0,0,,,0,0,0,0,80.1678,2.43466,0.00421,
616-47-7,DTXSID6052291,1-Methylimidazole,C4H6N2,,,0,0,,,0,0,2.08449,-0.0587183,0.000275,
70641-51-9,DTXSID9045766,Edelfosine,C27H58NO6P,,,,,,,,, ,5.70972,0.000115,
366-18-7,DTXSID9040635,"2,2'-Bipyridine",C10H8N2,0,0,0,0,0,0,70.53768981,0.778413812,39.7192,1.5006,0.00125,
93-76-5,DTXSID5021388,"2,4,5-Trichlorophenoxyacetic acid",C8H5Cl3O3,0,0,0,0,0,0,0,0,8.41395,3.3099,0.000236,
118-79-6,DTXSID6021959,"2,4,6-Tribromophenol",C6H3Br3O,0,0,0,0,0,0,70.46286884,0.722905518,101.625,4.13057,7.41E-05,
94-75-7,DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",C8H6Cl2O3,0,0,0,0,0,0,0,0,4.61318,2.80925,3.65E-05,
1928-38-7,DTXSID6041349,"2,4-D-methyl",C9H8Cl2O3,0,0,0,0,0,0,0,0,17.9061,3.16,0.00119,
94-82-6,DTXSID7024035,"2,4-Dichlorophenoxybutyric acid",C10H10Cl2O3,0,0,0,0,0,0,0,0,15.5597,3.52802,0.000742,
89-86-1,DTXSID0025074,"2,4-Dihydroxybenzoic acid",C7H6O4,0,0,,,0,0,0,0,0.94189,1.62984,0.00201,
51-28-5,DTXSID0020523,"2,4-Dinitrophenol",C6H4N2O5,0,0,0,0,0,0,0,0,2.68534,1.67226,0.000378,
695-34-1,DTXSID1044720,4-Methylpyridin-2-amine,C6H8N2,0,0,0,0,0,0,0,0,3.90841,0.566152,0.00184,
154-42-7,DTXSID6023652,6-Thioguanine,C5H5N5S,0,0,0,0,0,0,0,0, ,-0.0689596,0.000878,
153-78-6,DTXSID1049223,2-Aminofluorene,C13H11N,0,0,,,0,0,120.4492303,0.943771106,20.9411,3.13991,0.00508,
141-90-2,DTXSID4021347,Thiouracil,C4H4N2OS,0,0,0,0,0,0,0,0,0.615177,-0.280388,0.00228,
61-82-5,DTXSID0020076,Amitrole,C2H4N4,0,0,0,0,0,0,0,0,0.58479,-0.920745,0.00337,
5332-73-0,DTXSID7027596,3-Methoxypropylamine,C4H11NO,0,0,0,0,0,0,0,0,1.30317,-0.0590897,3.09E-05,
56-49-5,DTXSID0020862,3-Methylcholanthrene,C21H16,45.65652335,1.122101939,,,0,0,52.68894331,1.923017501,651.628,6.41889,0.000555,
41078-02-8,DTXSID9045186,Enprofylline,C8H10N4O2,,,,,,,,,0.753356,0.327772,0.00328,
504-88-1,DTXSID1020982,3-Nitropropionic acid,C3H5NO4,0,0,,,0,0,0,0, ,-1.24871,0.000163,
5627-46-3,DTXSID5043897,Clobenztropine,C21H24ClNO,,,,,,,,, ,4.06917,8.21E-05,
504-24-5,DTXSID0023870,4-Aminopyridine,C5H6N2,0,0,,,0,0,0,0,3.95367,0.31946,0.00515,
59-50-7,DTXSID4021717,4-Chloro-3-methylphenol,C7H7ClO,0,0,0,0,0,0,0,0,20.6538,3.09116,0.00224,
104-40-5,DTXSID5033836,4-Nonylphenol,C15H24O,0,0,0.824924591,1.541725857,0,0,73.81263021,0.624439193,96.8278,5.75732,0.00309,
57-41-0,DTXSID8020541,"5,5-Diphenylhydantoin",C15H12N2O2,0,0,0,0,0,0,0,0,6.98232,2.36404,5.41E-05,
30007-47-7,DTXSID1044560,"5-Bromo-5-nitro-1,3-dioxane",C4H6BrNO4,69.94514681,1.204113009,0,0,65.79950968,0.32879585,0,0, ,0.0149428,0.00143,
59-87-0,DTXSID5020944,Nitrofurazone,C6H6N4O4,0,0,0,0,0,0,0,0,1.50314,0.228663,0.000113,
519-37-9,DTXSID5023031,Etofylline,C9H12N4O3,0,0,,,0,0,0,0,0.597035,-0.615925,9.92E-05,
148-24-3,DTXSID5020730,8-Hydroxyquinoline,C9H7NO,0,0,0,0,52.68158493,1.535654679,24.19335046,2.436944736,10.6414,2.01913,0.00652,
321-64-2,DTXSID1037272,Tacrine,C13H14N2,0,0,,,0,0,51.75114456,0.778413812,45.4988,2.70731,0.00967,
80809-81-0,DTXSID0045125,Docebenone,C21H26O3,0,0,,,0,0,65.70258972,1.033686317, ,4.4974,9.89E-05,
827-61-2,DTXSID2045658,Aceclidine,C9H15NO2,,,,,,,,,9.90832,0.702553,0.00437,
53164-05-9,DTXSID7022540,Acemetacin,C21H18ClNO6,39.94675033,1.822272698,,,0,0,0,0,20.2768,3.55025,0.00108,
30560-19-1,DTXSID8023846,Acephate,C4H10NO3PS,0,0,0,0,0,0,33.7823021,0.592522915, ,-0.848194,0.00271,
103-90-2,DTXSID2020006,Acetaminophen,C8H9NO2,0,0,0,0,0,0,0,0,1.72982,0.462113,0.00192,
118-57-0,DTXSID7045865,Acetaminosalol,C15H13NO4,,,,,,,,,3.2961,2.54233,2.88E-05,
59-66-5,DTXSID7022544,Acetazolamide,C4H6N4O3S2,0,0,0,0,0,0,0,0,0.190546,-0.260108,0.00213,
34256-82-1,DTXSID8023848,Acetochlor,C14H20ClNO2,0,0,0,0,0,0,39.39580719,1.966286837,18.578,3.03176,8.28E-06,
968-81-0,DTXSID7020007,Acetohexamide,C15H20N2O4S,0,0,0,0,0,0,0,0,1.8281,2.43949,0.000311,
546-88-3,DTXSID7022546,Acetohydroxamic acid,C2H5NO2,0,0,,,0,0,0,0,0.532108,-1.58858,0.00575,
13402-08-9,DTXSID8048789,Acetylpheneturide,C13H16N2O3,0,0,,,0,0,0,0,0.986279,1.29576,9.17E-05,
2901-75-9,DTXSID3045697,Afalanine,C11H13NO3,0,0,,,0,0,0,0,0.404576,0.931347,0.00217,
8/9/1957,DTXSID1045879,Acexamic acid,C8H15NO3,0,0,,,0,0,0,0,0.807235,-0.210563,0.00497,
114607-46-4,DTXSID3048732,Acitazanolast,C9H7N5O3,0,0,,,0,0,0,0,0.1,0.694116,0.00527,
18699-02-0,DTXSID0020020,4-Acetylaminophenylacetic acid,C10H11NO3,0,0,0,0,0,0,0,0,0.487529,1.11074,0.00156,
59277-89-3,DTXSID1022556,Acyclovir,C8H11N5O3,0,0,,,0,0,0,0,0.179061,-1.55921,0.00176,
56287-74-2,DTXSID5022562,Afloqualone,C16H14FN3O,,,,,,,,,10.617,2.65946,0.00136,
175178-82-2,DTXSID0051447,"N-(3-Chlorophenyl)-6,7-dimethoxyquinazolin-4-amine",C16H14ClN3O2,,,0,0,,,52.83388203,1.264856221,70.1455,3.51027,0.00101,
118409-57-7,DTXSID9045215,"((3,4-Dihydroxyphenyl)methylene)-Propanedinitrile",C10H6N2O2,0,0,,,0,0,0,0, ,0.459111,0.00186,
118409-58-8,DTXSID4045216,Tyrphostin 25,C10H6N2O3,,,,,,,,, ,-0.619548,0.000182,
3011-89-0,DTXSID3041405,2-Chloro-4-nitrobenzamide,C7H5ClN2O3,0,0,0,0,0,0,0,0,5.78096,0.344322,0.000116,
15972-60-8,DTXSID1022265,Alachlor,C14H20ClNO2,0,0,0,0,0,0,91.01727793,1.310144131,16.8655,3.51767,4.01E-05,
60719-82-6,DTXSID5045122,Alaproclate,C13H18ClNO2,0,0,,,0,0,74.03815147,0.931809442,32.0627,2.05064,0.00152,
54965-21-8,DTXSID0022563,Albendazole,C12H15N3O2S,0,0,0,0,0,0,60.90096983,1.591886843,6.08135,3.06823,0.00232,
18559-94-9,DTXSID5021255,Albuterol,C13H21NO3,0,0,,,0,0,0,0,2.91743,0.997825,0.000332,
116-06-3,DTXSID0039223,Aldicarb,C7H14N2O2S,0,0,0,0,0,0,0,0, ,1.12863,0.000181,
315-30-0,DTXSID4022573,Allopurinol,C5H4N4O,0,0,,,0,0,0,0,1.49279,-0.550134,4.75E-05,
52225-20-4,DTXSID3021356,dl-alpha-Tocopheryl acetate,C31H52O3,0,0,0,0,0,0,0,0,294.442,9.15335,0.000409,
28981-97-7,DTXSID4022577,Alprazolam,C17H13ClN4,,,,,,,,,63.6796,2.12224,0.00352,
