DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,LXR_Emax,LXR_assay
DTXSID001339559,AFFF Solberg F2(0.5X) + F3(0.5X),NOCAS_1339559,, ,Inactive,0,0
DTXSID00190950,6:1 Fluorotelomer alcohol,375-82-6,C7H3F13O,349.997631,Inactive,0,0
DTXSID00192353,8:2 Fluorotelomer sulfonic acid,39108-34-4,C10H5F17O3S,527.968794,Inactive,0,0
DTXSID00194615,"1H,1H,9H-Perfluorononyl acrylate",4180-26-1,C12H6F16O2,486.01123,Active,0.786115028,0.138148153
DTXSID0020020,Actarit,18699-02-0,C10H11NO3,193.073893,Inactive,0,0
DTXSID0020022,Acifluorfen,50594-66-6,C14H7ClF3NO5,360.996485,Inactive,0,0
DTXSID0020072,4-Biphenylamine hydrochloride,2113-61-3,C12H12ClN,205.065827,Inactive,0,0
DTXSID0020076,Amitrole,61-82-5,C2H4N4,84.043596,Inactive,0,0
DTXSID0020105,Sodium L-ascorbate,134-03-2,C6H7NaO6,198.014032,Inactive,0,0
DTXSID0020107,Aspartame,22839-47-0,C14H18N2O5,294.121572,Inactive,0,0
DTXSID0020151,Benzyl acetate,140-11-4,C9H10O2,150.06808,Inactive,0,0
DTXSID0020232,Caffeine,1958/8/2,C8H10N4O2,194.080376,Inactive,0,0
DTXSID0020236,Calcium lactate,814-80-2,C6H10CaO6,218.010329,Inactive,0,0
DTXSID0020280,1-Chloro-2-nitrobenzene,88-73-3,C6H4ClNO2,156.993056,Inactive,0,0
DTXSID0020282,"4-Chloro-1,3-diaminobenzene",5131-60-2,C6H7ClN2,142.029776,Inactive,0,0
DTXSID0020284,"2-Chloro-1,4-diaminobenzene sulfate (1:1)",61702-44-1,C6H9ClN2O4S,239.997156,Inactive,0,0
DTXSID0020286,3-Chloro-4-methylaniline,95-74-9,C7H8ClN,141.034527,Inactive,0,0
DTXSID0020288,4-Chloro-2-methylaniline hydrochloride,3165-93-3,C7H9Cl2N,177.011205,Inactive,0,0
DTXSID0020311,Monuron,150-68-5,C9H11ClN2O,198.055991,Inactive,0,0
DTXSID0020319,Chlorothalonil,1897-45-6,C8Cl4N2,263.881559,Inactive,0,0
DTXSID0020361,Cyclohexylamine hydrochloride,4998-76-9,C6H14ClN,135.081477,Inactive,0,0
DTXSID0020365,Cyclosporin A,59865-13-3,C62H111N11O12,1201.841368,Inactive,0,0
DTXSID0020440,Dichlorprop,120-36-5,C9H8Cl2O3,233.98505,Inactive,0,0
DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",94-75-7,C8H6Cl2O3,219.9694,Inactive,0,0
DTXSID0020446,Diuron,330-54-1,C9H10Cl2N2O,232.017018,Inactive,0,0
DTXSID0020494,Dimethyl methylphosphonate,756-79-6,C3H9O3P,124.028931,Inactive,0,0
DTXSID0020498,Dimethyl terephthalate,120-61-6,C10H10O4,194.057909,Inactive,0,0
DTXSID0020523,"2,4-Dinitrophenol",51-28-5,C6H4N2O5,184.012021,Inactive,0,0
DTXSID0020529,"2,4-Dinitrotoluene",121-14-2,C7H6N2O4,182.032757,Inactive,0,0
DTXSID0020573,17beta-Estradiol,50-28-2,C18H24O2,272.17763,Inactive,0,0
DTXSID0020575,Estragole,140-67-0,C10H12O,148.088815,Inactive,0,0
DTXSID0020577,Ethionamide,536-33-4,C8H10N2S,166.05647,Inactive,0,0
DTXSID0020604,4-Vinyl-1-cyclohexene diepoxide,106-87-6,C8H12O2,140.08373,Inactive,0,0
DTXSID0020606,Bis(2-ethylhexyl)hexanedioate,103-23-1,C22H42O4,370.30831,Inactive,0,0
DTXSID0020652,Gemfibrozil,25812-30-0,C15H22O3,250.156895,Inactive,0,0
DTXSID0020654,Geranyl acetate,105-87-3,C12H20O2,196.14633,Inactive,0,0
DTXSID0020656,Gibberellic acid,1977/6/5,C19H22O6,346.141638,Inactive,0,0
DTXSID0020737,Indole,120-72-9,C8H7N,117.057849,Inactive,0,0
DTXSID0020814,Mestranol,72-33-3,C21H26O2,310.19328,Inactive,0,0
DTXSID0020941,Sodium nitrite,7632-00-0,NNaO2,68.982673,Inactive,0,0
DTXSID0020943,5-Nitro-o-anisidine,99-59-2,C7H8N2O3,168.053492,Inactive,0,0
DTXSID0021040,N-Nitrosohexamethyleneimine,932-83-2,C6H12N2O,128.094963,Inactive,0,0
DTXSID0021094,"4,4'-Oxydianiline",101-80-4,C12H12N2O,200.094963,Inactive,0,0
DTXSID0021121,Phenformin hydrochloride,834-28-6,C10H16ClN5,241.109423,Inactive,0,0
DTXSID0021123,Phenobarbital sodium,57-30-7,C12H11N2NaO3,254.066736,Inactive,0,0
DTXSID0021125,Phenolphthalein,1977/9/8,C20H14O4,318.089209,Active,1.774634549,0.792801526
DTXSID0021175,Polysorbate 80,9005-65-6,, ,Inactive,0,0
DTXSID0021206,"1,2-Propylene glycol",57-55-6,C3H8O2,76.052429,Inactive,0,0
DTXSID0021254,Safrole,94-59-7,C10H10O2,162.06808,Inactive,0,0
DTXSID0021256,Sulfasalazine,599-79-1,C18H14N4O5S,398.068491,Inactive,0,0
DTXSID0021331,Tetrakis(hydroxymethyl)phosphonium sulfate,55566-30-8,C8H24O12P2S,406.046371,Inactive,0,0
DTXSID0021333,Tetramethylthiuram monosulfide,97-74-5,C6H12N2S3,208.016262,Inactive,0,0
DTXSID0021337,Thiabendazole,148-79-8,C10H7N3S,201.036068,Active,-0.934504067,1.123445996
DTXSID0021339,Thiotepa,52-24-4,C6H12N3PS,189.048956,Inactive,0,0
DTXSID0021385,Folpet,133-07-3,C9H4Cl3NO2S,294.902833,Inactive,0,0
DTXSID0021389,Trichlorfon,52-68-6,C4H8Cl3O4P,255.922579,Inactive,0,0
DTXSID0021414,Tris(2-ethylhexyl) phosphate,78-42-2,C24H51O4P,434.352497,Inactive,0,0
DTXSID0021460,Zearalenone,17924-92-4,C18H22O5,318.146724,Inactive,0,0
DTXSID0021464,Ziram,137-30-4,C6H12N2S4Zn,303.917475,Inactive,0,0
DTXSID0021543,1-Chlorooctane,111-85-3,C8H17Cl,148.101878,Inactive,0,0
DTXSID0021597,Heptanal,111-71-7,C7H14O,114.104465,Inactive,0,0
DTXSID0021626,4-Isopropylbenzyl alcohol,536-60-7,C10H14O,150.104465,Inactive,0,0
DTXSID0021628,Methyl glyoxal,78-98-8,C3H4O2,72.021129,Inactive,0,0
DTXSID0021757,1-Ethynylcyclohexanol,78-27-3,C8H12O,124.088815,Inactive,0,0
DTXSID0021759,2-Methyl-1-propanol,78-83-1,C4H10O,74.073165,Inactive,0,0
DTXSID0021832,"N,N,4-Trimethylaniline",99-97-8,C9H13N,135.104799,Inactive,0,0
DTXSID0021834,4-Nitrophenol,100-02-7,C6H5NO3,139.026943,Inactive,0,0
DTXSID0021836,"1,4-Dinitrobenzene",100-25-4,C6H4N2O4,168.017107,Active,0.80603982,0.933509942
DTXSID0021888,2-Pentanone,107-87-9,C5H10O,86.073165,Inactive,0,0
DTXSID0021915,Diethyl decanedioate,110-40-7,C14H26O4,258.183109,Inactive,0,0
DTXSID0021961,Benzophenone,119-61-9,C13H10O,182.073165,Inactive,0,0
DTXSID0021963,4-(Diethylamino)benzaldehyde,120-21-8,C11H15NO,177.115364,Inactive,0,0
DTXSID0021965,"1,2,4-Trichlorobenzene",120-82-1,C6H3Cl3,179.930033,Inactive,0,0
DTXSID0021969,4-Hydroxy-3-methoxybenzaldehyde,121-33-5,C8H8O3,152.047344,Inactive,0,0
DTXSID0022012,3-Methoxyphenol,150-19-6,C7H8O2,124.052429,Inactive,0,0
DTXSID0022014,Hydroquinone dimethyl ether,150-78-7,C8H10O2,138.06808,Inactive,0,0
DTXSID0022016,"1,4-Diazabicyclo[2.2.2]octane",280-57-9,C6H12N2,112.100048,Inactive,0,0
DTXSID0022018,Disulfoton,298-04-4,C8H19O2PS3,274.02848,Inactive,0,0
DTXSID0022062,3-Methyl-2-butanone,563-80-4,C5H10O,86.073165,Inactive,0,0
DTXSID0022191,Tetrahydrofurfuryl methacrylate,2455-24-5,C9H14O3,170.094294,Inactive,0,0
DTXSID0022193,Benzyl methacrylate,2495-37-6,C11H12O2,176.08373,Inactive,0,0
DTXSID0022301,Flucythrinate,70124-77-5,C26H23F2NO4,451.159515,Inactive,0,0
DTXSID0022305,4-tert-Butylstyrene,1746-23-2,C12H16,160.125201,Inactive,0,0
DTXSID0022307,Chloromethyl styrene,30030-25-2,, ,Inactive,0,0
DTXSID0022353,"3-Chloro[1,1¡ä-biphenyl]-4-ol",1992/4/6,C12H9ClO,204.034193,Inactive,0,0
DTXSID00223797,Dichloromethyl((perfluorohexyl)ethyl)silane,73609-36-6,C9H7Cl2F13Si,459.948648,Inactive,0,0
DTXSID0022436,"4,4-Bis(4-hydroxyphenyl)valeric acid",126-00-1,C17H18O4,286.120509,Inactive,0,0
DTXSID0022480,3-Ethylphenol,620-17-7,C8H10O,122.073165,Inactive,0,0
DTXSID0022519,Folic acid,59-30-3,C19H19N7O6,441.139681,Inactive,0,0
DTXSID0022563,Albendazole,54965-21-8,C12H15N3O2S,265.088498,Inactive,0,0
DTXSID0022777,Celecoxib,169590-42-5,C17H14F3N3O2S,381.075882,Active,0.823325308,1.422382053
DTXSID0022933,Digitoxin,71-63-6,C41H64O13,764.434692,Active,0.675670033,3.763574605
DTXSID0023113,2-Methoxyphenol,1990/5/1,C7H8O2,124.052429,Inactive,0,0
DTXSID0023244,"(2R,3R,4R,5S)-6-(Methylamino)hexane-1,2,3,4,5-pentol",6284-40-8,C7H17NO5,195.110673,Inactive,0,0
DTXSID0023296,Methylene blue,61-73-4,C16H18ClN3S,319.090997,Inactive,0,0
DTXSID0023371,Nisoldipine,63675-72-9,C20H24N2O6,388.163437,Inactive,0,0
DTXSID0023377,Nomifensine,24526-64-5,C16H18N2,238.146999,Inactive,0,0
DTXSID0023581,Simvastatin,79902-63-9,C25H38O5,418.271924,Inactive,0,0
DTXSID0023745,D-Xylose,58-86-6,C5H10O5,150.052823,Inactive,0,0
DTXSID0023747,"2',3'-Dideoxycytidine",7481-89-2,C9H13N3O3,211.095691,Inactive,0,0
DTXSID0023826,Isophorone diisocyanate,4098-71-9,C12H18N2O2,222.136828,Inactive,0,0
DTXSID0023878,Anthracene,120-12-7,C14H10,178.07825,Inactive,0,0
DTXSID0023901,Bentazone,25057-89-0,C10H12N2O3S,240.056863,Active,-1.556656574,0.842755853
DTXSID0023907,Benzo(b)fluoranthene,205-99-2,C20H12,252.0939,Inactive,0,0
DTXSID0023951,Carboxin,5234-68-4,C12H13NO2S,235.0667,Inactive,0,0
DTXSID0023955,Chlorimuron-ethyl,90982-32-4,C15H15ClN4O6S,414.040083,Inactive,0,0
DTXSID0024000,Chlorthal-dimethyl,1861-32-1,C10H6Cl4O4,329.902019,Inactive,0,0
DTXSID0024002,Fenpropathrin,39515-41-8,C22H23NO3,349.167794,Active,1.136295175,1.423055019
DTXSID0024052,Dimethipin,55290-64-7,C6H10O4S2,210.002051,Inactive,0,0
DTXSID0024183,Methyl acrylate,96-33-3,C4H6O2,86.036779,Inactive,0,0
DTXSID0024216,Nitrapyrin,1929-82-4,C6H3Cl4N,228.90196,Inactive,0,0
DTXSID0024266,Pirimiphos-methyl,29232-93-7,C11H20N3O3PS,305.0963,Active,1.171675762,0.991192205
DTXSID0024345,Triasulfuron,82097-50-5,C14H16ClN5O5S,401.056067,Active,-1.225162675,1.548081577
DTXSID0024397,Acetoacetanilide,102-01-2,C10H11NO2,177.078979,Inactive,0,0
DTXSID0024399,Acetoin,513-86-0,C4H8O2,88.052429,Inactive,0,0
DTXSID0024553,Azodicarbonamide,123-77-3,C2H4N4O2,116.033425,Inactive,0,0
DTXSID0024761,3-Chloroaniline,108-42-9,C6H6ClN,127.018877,Inactive,0,0
DTXSID0024890,p-Cymen-8-ol,1197-01-9,C10H14O,150.104465,Inactive,0,0
DTXSID0025101,3-Dimethylaminophenol,99-07-0,C8H11NO,137.084064,Inactive,0,0
DTXSID0025234,Eosin,17372-87-1,C20H6Br4Na2O5,687.674414,Inactive,0,0
DTXSID0025361,Glycidyl methacrylate,106-91-2,C7H10O3,142.062994,Inactive,0,0
DTXSID0025363,Glycolic acid,79-14-1,C2H4O3,76.016044,Inactive,0,0
DTXSID0025492,1-Chlorododecane,112-52-7,C12H25Cl,204.164479,Inactive,0,0
DTXSID0025523,Maltol,118-71-8,C6H6O3,126.031694,Inactive,0,0
DTXSID0025527,Medroxyprogesterone acetate,71-58-9,C24H34O4,386.24571,Inactive,0,0
DTXSID0025571,"2-Methyl-1,3-benzenediol",608-25-3,C7H8O2,124.052429,Inactive,0,0
DTXSID0025737,3-Nitrobenzoic acid,121-92-6,C7H5NO4,167.021858,Inactive,0,0
DTXSID0025789,beta-Nitrostyrene,102-96-5,C8H7NO2,149.047678,Active,1.968769476,1.133775321
DTXSID0025812,Olivetol,500-66-3,C11H16O2,180.11503,Active,1.009323619,0.348772128
DTXSID0025816,Oxalic acid,144-62-7,C2H2O4,89.995309,Inactive,0,0
DTXSID0025864,4-Ethoxyaniline,156-43-4,C8H11NO,137.084064,Inactive,0,0
DTXSID0025991,4-Nitrosophenol,104-91-6,C6H5NO2,123.032028,Inactive,0,0
DTXSID0026098,"2,3,5,6-Tetrachloronitrobenzene",117-18-0,C6HCl4NO2,258.876139,Inactive,0,0
DTXSID0026171,Tolyltriazole,29385-43-1,C7H7N3,133.063997,Inactive,0,0
