DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,LXR_Emax,LXR_assay
DTXSID0034566,Emamectin benzoate,155569-91-8,, ,Inactive,0,0
DTXSID0034695,Mancozeb,8018/1/7,C8H12MnN4S8Zn,538.749952,Active,1.07668851,1.632236393
DTXSID0034722,Topramezone,210631-68-8,C16H17N3O5S,363.088892,Inactive,0,0
DTXSID0034776,Tolclofos-methyl,57018-04-9,C9H11Cl2O3PS,299.954358,Inactive,0,0
DTXSID0034803,Penoxsulam,219714-96-2,C16H14F5N5O5S,483.063581,Inactive,0,0
DTXSID0034851,Dichlorprop-P,15165-67-0,C9H8Cl2O3,233.98505,Inactive,0,0
DTXSID0034855,Fuazifop-P-butyl,79241-46-6,C19H20F3NO4,383.134443,Inactive,0,0
DTXSID0034930,Fosthiazate,98886-44-3,C9H18NO3PS2,283.046573,Inactive,0,0
DTXSID0034936,Sulfometuron-methyl,74222-97-2,C15H16N4O5S,364.084141,Inactive,0,0
DTXSID0035160,alpha-Ionone,127-41-3,C13H20O,192.151415,Inactive,0,0
DTXSID0035748,Chloroallyl methenamine chloride,51229-78-8,C9H16Cl2N4,250.075202,Active,1.339333893,0.916271033
DTXSID0035790,Sodium 2-methoxy-5-nitrophenolate,67233-85-6,C7H6NNaO4,191.019452,Inactive,0,0
DTXSID0036926,"Perfluoro-1,3-dimethylcyclohexane",335-27-3,C8F16,399.974451,Inactive,0,0
DTXSID0037495,Deisopropylatrazine,1007-28-9,C5H8ClN5,173.046823,Inactive,0,0
DTXSID0037570,Methabenzthiazuron,18691-97-9,C10H11N3OS,221.062283,Inactive,0,0
DTXSID0037730,"1,4-Dihydroxy-2-naphthoic acid",31519-22-9,C11H8O4,204.042259,Active,1.190445667,0.997657813
DTXSID0037734,2-Bromohexadecanoic acid,18263-25-7,C16H31BrO2,334.150743,Active,1.060193247,1.224888183
DTXSID00379268,3:3 Fluorotelomer carboxylic acid,356-02-5,C6H5F7O2,242.017777,Inactive,0,0
DTXSID00379884,"3-(Perfluoro-3-methylbutyl)-1,2-propenoxide",54009-81-3,C8H5F11O,326.016475,Inactive,0,0
DTXSID00379925,Perfluorononanoyl chloride,52447-23-1,C9ClF17O,481.936621,Active,0.755238956,1.440619141
DTXSID00380798,"1H,1H,11H,11H-Perfluorotetraethylene glycol",330562-44-2,C8H6F12O5,410.002361,Inactive,0,0
DTXSID0038700,2-Methoxy-4-nitroaniline,97-52-9,C7H8N2O3,168.053492,Inactive,0,0
DTXSID0038756,4-Fluorobenzaldehyde,459-57-4,C7H5FO,124.032443,Inactive,0,0
