PREFERRED NAME,DTXSID,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,PPARg_antagonist_ch1,PPARg_Emax,PPARg_assay
Halometasone hydrate,DTXSID2046460,1310709-74-0,C22H29ClF2O6,462.162073,Inactive,0,0
Phenprobamate,DTXSID2046464,673-31-4,C10H13NO2,179.094629,Inactive,0,0
Loteprednol etabonate,DTXSID2046468,82034-46-6,C24H31ClO7,466.175831,Active,31.30237449,1.639798069
DL-Lipoamide,DTXSID2046541,940-69-2,C8H15NOS2,205.059506,Inactive,0,0
Nicotinic acid 1-oxide,DTXSID2046543,2398-81-4,C6H5NO3,139.026943,Inactive,0,0
Diphenylcyclopropenone,DTXSID2046545,886-38-4,C15H10O,206.073165,Active,61.28680286,1.520415139
"3,3'-Diethylthiacarbocyanine iodide",DTXSID2046591,905-97-5,C21H21IN2S2,492.01909,Inactive,0,0
Difloxacin hydrochloride,DTXSID2046599,91296-86-5,C21H20ClF2N3O3,435.116126,Inactive,0,0
Tamsulosin hydrochloride,DTXSID2046628,106463-17-6,C20H29ClN2O5S,444.148571,Inactive,0,0
Roxatidine acetate hydrochloride,DTXSID2046670,93793-83-0,C19H29ClN2O4,384.181585,Inactive,0,0
Doripenem,DTXSID2046678,148016-81-3,C15H24N4O6S2,420.113727,Inactive,0,0
Agaric acid,DTXSID2046705,666-99-9,C22H40O7,416.277404,Inactive,0,0
Pirarubicin,DTXSID2046755,72496-41-4,C32H37NO12,627.231576,Active,41.58491787,2.091001091
DL-Isoleucine,DTXSID2046882,443-79-8,C6H13NO2,131.094629,Inactive,0,0
Bendamustine,DTXSID2046888,16506-27-7,C16H21Cl2N3O2,357.101082,Inactive,0,0
Emedastine difumarate,DTXSID2046911,87233-62-3,C25H34N4O9,534.232579,Inactive,0,0
Vatalanib,DTXSID2046919,212141-54-3,C20H15ClN4,346.098524,Inactive,0,0
"1,3-Dimethoxybenzene",DTXSID2047060,151-10-0,C8H10O2,138.06808,Inactive,0,0
(E)-2-Hexen-1-ol,DTXSID2047062,928-95-0,C6H12O,100.088815,Inactive,0,0
Hydrocinnamic acid,DTXSID2047064,501-52-0,C9H10O2,150.06808,Inactive,0,0
"2,3-Hexanedione",DTXSID2047066,3848-24-6,C6H10O2,114.06808,Inactive,0,0
"cis-3,7-Dimethyl-2,6-octadien-1-yl acetate",DTXSID2047068,141-12-8,C12H20O2,196.14633,Inactive,0,0
Cyclopentadecanone,DTXSID2047141,502-72-7,C15H28O,224.214016,Inactive,0,0
"3,3-Dimethylacrylic acid",DTXSID2047145,541-47-9,C5H8O2,100.052429,Inactive,0,0
4-Isopropylcyclohexanol,DTXSID2047149,4621/4/9,C9H18O,142.135765,Inactive,0,0
Linalyl benzoate,DTXSID2047191,126-64-7,C17H22O2,258.16198,Inactive,0,0
Rhodinol,DTXSID2047193,141-25-3,C10H20O,156.151415,Inactive,0,0
p-Mentha-8-thiol-3-one,DTXSID2047195,38462-22-5,C10H18OS,186.107836,Inactive,0,0
Fenchyl acetate,DTXSID2047197,13851-11-1,C12H20O2,196.14633,Inactive,0,0
2-Methoxy-4-propylphenol,DTXSID2047199,2785-87-7,C10H14O2,166.09938,Inactive,0,0
Besonprodil,DTXSID2047270,253450-09-8,C21H23FN2O3S,402.141342,Inactive,0,0
CJ-013610,DTXSID2047272,249296-43-3,C23H27N3O5S2,489.139213,Inactive,0,0
CP-114271,DTXSID2047274,113734-18-2,C17H19F3N2O4S,404.101763,Inactive,0,0
CP-409092,DTXSID2047276,194098-25-4,C17H19N3O2,297.147727,Inactive,0,0
CP-457677,DTXSID2047278,214535-77-0,C22H21FN2O3,380.153621,Inactive,0,0
CP-456773,DTXSID2047301,210826-40-7,C20H24N2O5S,404.140593,Inactive,0,0
CJ-013790,DTXSID2047303,179465-71-5,C18H17FN2O4,344.117235,Inactive,0,0
CP-608039,DTXSID2047305,NOCAS_47305,C23H25ClN8O5,528.163644,Inactive,0,0
PD-0333941,DTXSID2047307,501027-49-2,C23H22N2O4,390.157957,Inactive,0,0
UK-156819,DTXSID2047309,162706-14-1,C19H20N2O2,308.152478,Inactive,0,0
SSR 240612,DTXSID2047351,464930-42-5,C42H53ClN4O7S,792.332349,Inactive,0,0
SSR 241586 HCl,DTXSID2047353,NOCAS_47353,C32H43Cl3N4O3,636.240074,Inactive,0,0
Trelanserin,DTXSID2047355,189003-92-7,C24H24FN5O2S,465.163474,Inactive,0,0
Surinabant,DTXSID2047357,288104-79-0,C23H23BrCl2N4O,520.04323,Active,38.750584,2.233637978
"4-Bromophenyl 1,4-diazabicyclo(3.2.2)nonane-4-carboxylate",DTXSID2047359,298198-52-4,C14H17BrN2O2,324.047341,Inactive,0,0
Flurandrenolide,DTXSID2047434,1524-88-5,C24H33FO6,436.226117,Inactive,0,0
Glycocholic acid,DTXSID2047436,475-31-0,C26H43NO6,465.309038,Inactive,0,0
Magnesium dinitrate hexahydrate,DTXSID2047484,13446-18-9,H12MgN2O12,256.024066,Inactive,0,0
Methoxybenzyl alcohol,DTXSID2047486,1331-81-3,, ,Inactive,0,0
Ethyl hexadecanoate,DTXSID2047511,628-97-7,C18H36O2,284.27153,Inactive,0,0
"Hexanedioic acid, di-C7-9-branched and linear alkyl esters",DTXSID2047517,68515-75-3,, ,Inactive,0,0
Hexyl isobutyrate,DTXSID2047519,2349/7/7,C10H20O2,172.14633,Inactive,0,0
"1H,1H,2H,2H-Perfluorooctyl iodide",DTXSID2047565,2043-57-4,C8H4F13I,473.91501,Inactive,0,0
2-Phenylethyl 2-methylbutanoate,DTXSID2047567,24817-51-4,C13H18O2,206.13068,Inactive,0,0
2-Hydroxyfluorene,DTXSID2047569,2443-58-5,C13H10O,182.073165,Inactive,0,0
Linalyl formate,DTXSID2047642,115-99-1,C11H18O2,182.13068,Inactive,0,0
Isoquinoline,DTXSID2047644,119-65-3,C9H7N,129.057849,Inactive,0,0
Isobutyl 3-phenylacrylate,DTXSID2047646,122-67-8,C13H16O2,204.11503,Inactive,0,0
3-Phenylpropyl acetate,DTXSID2047648,122-72-5,C11H14O2,178.09938,Inactive,0,0
Quinine hydrochloride dihydrate,DTXSID2047694,6119-47-7,C20H29ClN2O4,396.181585,Inactive,0,0
Cremophor EL,DTXSID2047696,61791-12-6,, ,Inactive,0,0
Petitgrain oil,DTXSID2047721,8014-17-3,, ,Inactive,0,0
Trithioacetone,DTXSID2047723,828-26-2,C9H18S3,222.057064,Inactive,0,0
"2,2,2-Trichloro-1-phenylethyl acetate",DTXSID2047725,90-17-5,C10H9Cl3O2,265.966813,Inactive,0,0
Cyclizine hydrochloride,DTXSID2047773,303-25-3,C18H24Cl2N2,338.131654,Inactive,0,0
Debrisoquin sulfate,DTXSID2047775,581-88-4,C20H28N6O4S,448.189275,Inactive,0,0
Pramoxine hydrochloride,DTXSID2047777,637-58-1,C17H28ClNO3,329.175771,Inactive,0,0
Ethaverine hydrochloride,DTXSID2047779,985-13-7,C24H30ClNO4,431.186336,Inactive,0,0
Benzathine penicillin G,DTXSID2047804,1538-09-6,C48H56N6O8S2,908.360105,Inactive,0,0
Norepinephrine bitartrate monohydrate,DTXSID2047806,108341-18-0,C12H19NO10,337.100896,Inactive,0,0
Biperiden hydrochloride,DTXSID2047856,1235-82-1,C21H30ClNO,347.201592,Inactive,0,0
Gallopamil hydrochloride,DTXSID2047858,16662-46-7,C28H41ClN2O5,520.2704,Inactive,0,0
"1-Butyl-2,3-dimethylimidazolium bromide",DTXSID2047931,475575-45-2,C9H17BrN2,232.057512,Inactive,0,0
1-Butylpyridinium bromide,DTXSID2047933,874-80-6,C9H14BrN,215.030962,Inactive,0,0
1-Hexylpyridinium chloride,DTXSID2047935,6220-15-1,C11H18ClN,199.112777,Inactive,0,0
1-Butyl-1-methylpyrrolidinium hexafluorophosphate,DTXSID2047937,330671-29-9,C9H20F6NP,287.123756,Inactive,0,0
1-Butyl-1-methylpyrrolidinium dicyanamide,DTXSID2047939,370865-80-8,C11H20N4,208.168797,Inactive,0,0
Rimcazole dihydrochloride,DTXSID2048161,75859-03-9,C21H29Cl2N3,393.173853,Inactive,0,0
FR 409,DTXSID2048167,138472-01-2,C8H13N3O4,215.090606,Inactive,0,0
Ropivacaine hydrochloride,DTXSID2048379,98717-15-8,C17H27ClN2O,310.181191,Inactive,0,0
Tigecycline,DTXSID2048581,220620-09-7,C29H39N5O8,585.279863,Inactive,0,0
"Dipotassium 2,3-dihydroxypropyl phosphate",DTXSID2048616,927-19-5,C3H7K2O6P,247.925438,Inactive,0,0
Sulbenicillin disodium,DTXSID2048618,28002-18-8,C16H16N2Na2O7S2,458.019432,Inactive,0,0
Raltegravir,DTXSID2048660,518048-05-0,C20H21FN6O5,444.155746,Inactive,0,0
Gadoteridol,DTXSID2048662,120066-54-8,C17H29GdN4O7,559.12773,Inactive,0,0
Dopexamine,DTXSID2048666,86197-47-9,C22H32N2O2,356.246378,Inactive,0,0
Oberadilol,DTXSID2048745,114856-44-9,C25H30ClN5O3,483.203717,Inactive,0,0
Troxacitabine,DTXSID2048791,145918-75-8,C8H11N3O4,213.074956,Inactive,0,0
Dicethiamine hydrochloride,DTXSID2048793,616-96-6,C18H27ClN4O6S,462.133983,Inactive,0,0
Pelubiprofen,DTXSID2048795,69956-77-0,C16H18O3,258.125594,Inactive,0,0
Diponium bromide,DTXSID2048797,2001-81-2,C20H38BrNO2,403.208592,Inactive,0,0
Emiglitate,DTXSID2048799,80879-63-6,C17H25NO7,355.163102,Inactive,0,0
Zelandopam,DTXSID2048820,139233-53-7,C15H16ClNO4,309.076786,Inactive,0,0
Glyclopyramide,DTXSID2048822,631-27-6,C11H14ClN3O3S,303.04444,Inactive,0,0
Nitrefazole,DTXSID2048826,21721-92-6,C10H8N4O4,248.054555,Inactive,0,0
Pifoxime,DTXSID2048828,31224-92-7,C15H20N2O3,276.147393,Inactive,0,0
(+/-)-cis-4-Methylaminorex,DTXSID2048870,29493-77-4,C10H12N2O,176.094963,Inactive,0,0
(-)-Fenfluramine hydrochloride,DTXSID2048872,3616-78-2,C12H17ClF3N,267.100162,Inactive,0,0
1-Phenylcyclohexylamine hydrochloride,DTXSID2048901,1934-71-0,C12H18ClN,211.112777,Inactive,0,0
Buprenorphine hydrochloride,DTXSID2048905,53152-21-9,C29H42ClNO4,503.280237,Inactive,0,0
Dihydroisocodeine,DTXSID2048907,795-38-0,C18H23NO3,301.167794,Inactive,0,0
Doramapimod,DTXSID2048957,285983-48-4,C31H37N5O3,527.28964,Inactive,0,0
N2-Acetyl-L-glutamine,DTXSID2048959,2490-97-3,C7H12N2O4,188.079707,Inactive,0,0
Dicloxacillin sodium salt monohydrate,DTXSID2049002,13412-64-1,C19H18Cl2N3NaO6S,509.019106,Inactive,0,0
Hydrocortisone 21-hemisuccinate sodium salt,DTXSID2049006,125-04-2,C25H33NaO8,484.207312,Inactive,0,0
rac Benidipine hydrochloride,DTXSID2049050,91599-74-5,C28H32ClN3O6,541.197964,Inactive,0,0
Cetirizine amide dihydrochloride,DTXSID2049052,200707-85-3,C21H28Cl3N3O2,459.12471,Inactive,0,0
Atipamezole,DTXSID2049135,104054-27-5,C14H16N2,212.131349,Inactive,0,0
"3,3-Diphenylacrylaldehyde",DTXSID2049210,1210-39-5,C15H12O,208.088815,Active,42.32930619,0.833606745
1-Butyl-3-methylpyridinium chloride,DTXSID2049212,125652-55-3,C10H16ClN,185.097127,Inactive,0,0
1-Butyl-2-methylpyridinium iodide,DTXSID2049214,13311-31-4,C10H16IN,277.03274,Inactive,0,0
Ammonium tetrachloroplatinate(II),DTXSID2049216,13820-41-2,Cl4H8N2Pt,370.908951,Inactive,0,0
1-Ethyl-3-methylimidazolium tetrafluoroborate,DTXSID2049218,143314-16-3,C6H11BF4N2,198.095141,Inactive,0,0
3-Aminofluoranthene,DTXSID2049260,2693-46-1,C16H11N,217.089149,Active,843.709038,1.240235115
4-Amino-m-cresol,DTXSID2049262,2835-99-6,C7H9NO,123.068414,Inactive,0,0
"1-Ethyl-2,3-dimethylimidazolium hexafluorophosphate",DTXSID2049264,292140-86-4,C7H13F6N2P,270.072054,Inactive,0,0
"1-Ethyl-2,3-dimethylimidazolium tetrafluoroborate",DTXSID2049266,307492-75-7,C7H13BF4N2,212.110791,Inactive,0,0
"4,4,4-Trifluoro-1-phenyl-1,3-butanedione",DTXSID2049268,326-06-7,C10H7F3O2,216.039814,Inactive,0,0
1-Iodohexane,DTXSID2049341,638-45-9,C6H13I,212.0062,Inactive,0,0
1-Ethyl-3-methylmidazolium bromide,DTXSID2049343,65039-08-9,C6H11BrN2,190.010561,Inactive,0,0
1-Butyl-4-methylpyridinium bromide,DTXSID2049345,65350-59-6,C10H16BrN,229.046613,Inactive,0,0
1-Ethyl-1-methylpyrrolidinium bromide,DTXSID2049347,69227-51-6,C7H16BrN,193.046613,Inactive,0,0
1-Bromoundecane,DTXSID2049349,693-67-4,C11H23Br,234.098314,Inactive,0,0
Tributyltetradecylphosphonium dodecylbenzenesulfonate,DTXSID2049391,817629-57-5,C44H85O3PS,724.595705,Inactive,0,0
alpha-Amylcinnamyl alcohol,DTXSID2049393,101-85-9,C14H20O,204.151415,Inactive,0,0
"1,5-Dibromopentane",DTXSID2049395,111-24-0,C5H10Br2,227.914926,Inactive,0,0
1-Bromohexadecane,DTXSID2049397,112-82-3,C16H33Br,304.176564,Inactive,0,0
Tropine,DTXSID2049399,120-29-6,C8H15NO,141.115364,Inactive,0,0
"2-Amino-4,6-dichloropyrimidine",DTXSID2049420,1956/5/3,C4H3Cl2N3,162.970403,Inactive,0,0
Procainamide hydrochloride,DTXSID2049422,614-39-1,C13H22ClN3O,271.14514,Inactive,0,0
"1,8-Diazabicyclo[5.4.0]undec-7-ene",DTXSID2049424,6674-22-2,C9H16N2,152.131349,Inactive,0,0
2-Bromoacetophenone,DTXSID2049426,1970/11/1,C8H7BrO,197.968028,Inactive,0,0
3-Indazolinone,DTXSID2049428,7364-25-2,C7H6N2O,134.048013,Inactive,0,0
NTP Mix52 CT1 3-EQP,DTXSID2049470,NOCAS_49470,, ,Inactive,0,0
NTP Mix53 CT1 3-EQP,DTXSID2049472,NOCAS_49472,, ,Inactive,0,0
NTP Mix55 CT1 3-EQP,DTXSID2049474,NOCAS_49474,, ,Inactive,0,0
NTP Mix40 CT1 3-EQP,DTXSID2049476,NOCAS_49476,, ,Inactive,0,0
NTP Mix42 CT1 3-EQP,DTXSID2049478,NOCAS_49478,, ,Inactive,0,0
NTP Mix8 AR1 8-7EQP,DTXSID2049501,NOCAS_49501,, ,Inactive,0,0
NTP Mix10 AR1 8-7EQP,DTXSID2049503,NOCAS_49503,, ,Inactive,0,0
NTP Mix12 AR1 8-7EQP,DTXSID2049505,NOCAS_49505,, ,Inactive,0,0
NTP Mix14 AR1 8-GP,DTXSID2049507,NOCAS_49507,, ,Inactive,0,0
NTP Mix16 AR1 8-GP,DTXSID2049509,NOCAS_49509,, ,Inactive,0,0
NTP Mix21 AR2 2-EQP,DTXSID2049551,NOCAS_49551,, ,Inactive,0,0
NTP Mix23 AR2 2-EQP,DTXSID2049553,NOCAS_49553,, ,Inactive,0,0
NTP Mix25 AR2 2-EQP,DTXSID2049555,NOCAS_49555,, ,Inactive,0,0
NTP Mix27 AR2 2-EQP,DTXSID2049557,NOCAS_49557,, ,Inactive,0,0
NTP Mix28 AR2 3-EQP,DTXSID2049559,NOCAS_49559,, ,Inactive,0,0
Glymidine sodium,DTXSID2057601,3459-20-9,C13H14N3NaO4S,331.060271,Inactive,0,0
R-Lotrafiban,DTXSID2057603,NOCAS_57603,C23H32N4O4,428.242356,Inactive,0,0
Quinuclidine,DTXSID2057607,100-76-5,C7H13N,111.104799,Inactive,0,0
Pentifylline,DTXSID2057609,1028-33-7,C13H20N4O2,264.158626,Inactive,0,0
Simetride,DTXSID2057651,154-82-5,C28H38N2O6,498.272987,Inactive,0,0
Nepaprazole,DTXSID2057653,156601-79-5,C18H19N3O2S,341.119798,Inactive,0,0
Alatrofloxacin mesylate,DTXSID2057655,146961-77-5,C27H29F3N6O8S,654.171968,Inactive,0,0
Norfentanyl,DTXSID2057657,1609-66-1,C14H20N2O,232.157563,Inactive,0,0
Clevudine,DTXSID2057659,163252-36-6,C10H13FN2O5,260.08085,Inactive,0,0
Promestriene,DTXSID2057730,39219-28-8,C22H32O2,328.24023,Inactive,0,0
Ethyl protocatechuate,DTXSID2057732,3943-89-3,C9H10O4,182.057909,Inactive,0,0
1-(2-Chlorophenyl)piperazine,DTXSID2057734,39512-50-0,C10H13ClN2,196.076726,Inactive,0,0
5-Acetylsalicylamide,DTXSID2057736,40187-51-7,C9H9NO3,179.058243,Inactive,0,0
4-Phenylpiperidin-4-ol,DTXSID2057738,40807-61-2,C11H15NO,177.115364,Inactive,0,0
Fluretofene,DTXSID2057780,56917-29-4,C14H9F,196.068828,Inactive,0,0
Sulfaperin,DTXSID2057782,599-88-2,C11H12N4O2S,264.068097,Inactive,0,0
Cycotiamine,DTXSID2057784,6092-18-8,C13H16N4O3S,308.094312,Inactive,0,0
"alpha,3-Dichlorotoluene",DTXSID2057786,620-20-2,C7H6Cl2,159.984656,Inactive,0,0
o-Chlorothiophenol,DTXSID2057788,6320/3/2,C6H5ClS,143.980049,Inactive,0,0
Glyceryl 1-(2-aminobenzoate),DTXSID2057811,71574-35-1,C10H13NO4,211.084458,Inactive,0,0
Imidoline,DTXSID2057813,7303-78-8,C13H18ClN3O,267.11384,Inactive,0,0
Rescimetol,DTXSID2057815,73573-42-9,C33H38N2O8,590.262816,Inactive,0,0
Tripamide,DTXSID2057817,73803-48-2,C16H20ClN3O3S,369.09139,Inactive,0,0
Indecainide,DTXSID2057819,74517-78-5,C20H24N2O,308.188863,Inactive,0,0
Allantoin,DTXSID3020043,97-59-6,C4H6N4O3,158.04399,Inactive,0,0
Allyl isothiocyanate,DTXSID3020047,1957/6/7,C4H5NS,99.01427,Inactive,0,0
Aniline hydrochloride,DTXSID3020091,142-04-1,C6H8ClN,129.034527,Inactive,0,0
p-Anisidinium chloride,DTXSID3020093,20265-97-8,C7H10ClNO,159.045092,Inactive,0,0
Anthraquinone,DTXSID3020095,84-65-1,C14H8O2,208.052429,Inactive,0,0
Aramite,DTXSID3020097,140-57-8,C15H23ClO4S,334.100558,Inactive,0,0
Sodium aristolochate-I,DTXSID3020099,10190-99-5,C17H10NNaO7,363.035496,Active,70.26898014,1.78893445
Azelnidipine,DTXSID3020120,123524-52-7,C33H34N4O6,582.247835,Inactive,0,0
Azinphos-methyl,DTXSID3020122,86-50-0,C10H12N3O3PS2,317.005771,Inactive,0,0
Sodium barbital,DTXSID3020128,144-02-5,C8H11N2NaO3,206.066736,Inactive,0,0
Benzyl butyl phthalate,DTXSID3020205,85-68-7,C19H20O4,312.136159,Inactive,0,0
Dinoseb,DTXSID3020207,88-85-7,C10H12N2O5,240.074621,Inactive,0,0
Butylparaben,DTXSID3020209,94-26-8,C11H14O3,194.094294,Inactive,0,0
"1,​2-​Benzenediol",DTXSID3020257,120-80-9,C6H6O2,110.036779,Inactive,0,0
Cinnamyl anthranilate,DTXSID3020330,87-29-6,C16H15NO2,253.110279,Inactive,0,0
Citric acid,DTXSID3020332,77-92-9,C6H8O7,192.027003,Inactive,0,0
Clofibrate,DTXSID3020336,637-07-0,C12H15ClO3,242.070972,Inactive,0,0
Dehydroepiandrosterone 3-acetate,DTXSID3020380,853-23-6,C21H30O3,330.219495,Inactive,0,0
Dexamethasone,DTXSID3020384,1950/2/2,C22H29FO5,392.199902,Inactive,0,0
"1,2-Dibromo-3-chloropropane",DTXSID3020413,1996/12/8,C3H5Br2Cl,233.844654,Inactive,0,0
"1,2-Dibromoethane",DTXSID3020415,106-93-4,C2H4Br2,185.867976,Inactive,0,0
Dibutyltin diacetate,DTXSID3020419,1067-33-0,C12H24O4Sn,352.069661,Active,53.38557083,1.953596233
Diethylformamide,DTXSID3020463,617-84-5,C5H11NO,101.084064,Inactive,0,0
Diethylstilbestrol,DTXSID3020465,56-53-1,C18H20O2,268.14633,Inactive,0,0
Diphenylcarbonate,DTXSID3020540,102-09-0,C13H10O3,214.062994,Inactive,0,0
Dithiooxamide,DTXSID3020546,79-40-3,C2H4N2S2,119.98159,Inactive,0,0
Dodecylguanidine acetate,DTXSID3020548,2439/10/3,C15H33N3O2,287.257277,Inactive,0,0
Ethylbenzene,DTXSID3020596,100-41-4,C8H10,106.07825,Inactive,0,0
"Ethylene glycol, cyclic sulfate",DTXSID3020598,1072-53-3,C2H4O4S,123.98303,Inactive,0,0
"(R,R)-Fenvalerate",DTXSID3020621,67614-33-9,C25H22ClNO3,419.128821,Inactive,0,0
Finasteride,DTXSID3020625,98319-26-7,C23H36N2O2,372.277678,Inactive,0,0
Fluconazole,DTXSID3020627,86386-73-4,C13H12F2N6O,306.104065,Inactive,0,0
"N-(2-Fluorenyl)-2,2,2-trifluoroacetamide",DTXSID3020629,363-17-7,C15H10F3NO,277.071448,Inactive,0,0
FD&C Green No. 1,DTXSID3020671,4680-78-8,C37H35N2NaO6S2,690.183423,Inactive,0,0
FD&C Green No. 3,DTXSID3020673,2353-45-9,C37H34N2Na2O10S3,808.117097,Inactive,0,0
Heptachlor,DTXSID3020679,76-44-8,C10H5Cl7,369.821094,Inactive,0,0
2-Hydrazino-4-(4-aminophenyl) thiazole,DTXSID3020704,26049-71-8,C9H10N4S,206.062618,Inactive,0,0
2-Hydrazino-4-(4-nitrophenyl)thiazole,DTXSID3020706,26049-70-7,C9H8N4O2S,236.036797,Inactive,0,0
4-Hydrazinobenzoic acid,DTXSID3020708,619-67-0,C7H8N2O2,152.058578,Inactive,0,0
Isobutyl nitrite,DTXSID3020750,542-56-3,C4H9NO2,103.063329,Inactive,0,0
Isoflurane,DTXSID3020752,26675-46-7,C3H2ClF5O,183.971433,Inactive,0,0
Isonicotinamide,DTXSID3020756,1453-82-3,C6H6N2O,122.048013,Inactive,0,0
Methyl tert-butyl ether,DTXSID3020833,1634-04-4,C5H12O,88.088815,Inactive,0,0
Methyl carbazate,DTXSID3020835,6294-89-9,C2H6N2O2,90.042927,Inactive,0,0
6-Methylquinoline,DTXSID3020887,91-62-3,C10H9N,143.073499,Inactive,0,0
4-Methylstyrene,DTXSID3020889,622-97-9,C9H10,118.07825,Inactive,0,0
Busulfan,DTXSID3020910,55-98-1,C6H14O6S2,246.023181,Inactive,0,0
Nalidixic acid,DTXSID3020912,389-08-2,C12H12N2O3,232.084792,Inactive,0,0
1-Naphthaleneacetamide,DTXSID3020914,86-86-2,C12H11NO,185.084064,Inactive,0,0
"1,5-Naphthalenediamine",DTXSID3020916,2243-62-1,C10H10N2,158.084398,Inactive,0,0
"N,N'-Di-2-naphthyl-p-phenylenediamine",DTXSID3020918,93-46-9,C26H20N2,360.162649,Inactive,0,0
5-Nitroacenaphthene,DTXSID3020960,602-87-9,C12H9NO2,199.063329,Inactive,0,0
1-Methoxy-2-nitrobenzene,DTXSID3020962,91-23-6,C7H7NO3,153.042593,Inactive,0,0
Nitrobenzene,DTXSID3020964,98-95-3,C6H5NO2,123.032028,Inactive,0,0
4-Nitrobenzoic acid,DTXSID3020966,62-23-7,C7H5NO4,167.021858,Inactive,0,0
2-Nitrosotoluene,DTXSID3021065,611-23-4,C7H7NO,121.052764,Inactive,0,0
"1,2-Phenylenediamine dihydrochloride",DTXSID3021140,615-28-1,C6H10Cl2N2,180.022104,Active,44.97469432,1.1
(-)-Phenylephrine hydrochloride,DTXSID3021142,61-76-7,C9H14ClNO2,203.071306,Inactive,0,0
Phenylethylhydrazine sulfate,DTXSID3021144,156-51-4,C8H14N2O4S,234.067428,Inactive,0,0
Phenylhydrazine hydrochloride,DTXSID3021148,59-88-1,C6H9ClN2,144.045426,Inactive,0,0
Procarbazine hydrochloride,DTXSID3021190,366-70-1,C12H20ClN3O,257.12949,Inactive,0,0
Promethazine hydrochloride,DTXSID3021192,58-33-3,C17H21ClN2S,320.111398,Inactive,0,0
"2,4-Bis(isopropylamino)-6-chloro-1,3,5-triazine",DTXSID3021196,139-40-2,C9H16ClN5,229.109423,Inactive,0,0
Propranolol hydrochloride,DTXSID3021198,318-98-9,C16H22ClNO2,295.133907,Inactive,0,0
Quinapril hydrochloride,DTXSID3021221,82586-55-8,C25H31ClN2O5,474.19215,Inactive,0,0
Ramosetron hydrochloride,DTXSID3021223,132907-72-3,C17H18ClN3O,315.11384,Inactive,0,0
Sodium diethyldithiocarbamate trihydrate,DTXSID3021275,20624-25-3,C5H16NNaO3S2,225.04693,Inactive,0,0
"2E,4E-Hexadienoic acid",DTXSID3021277,110-44-1,C6H8O2,112.052429,Inactive,0,0
l-Taurine,DTXSID3021304,107-35-7,C2H7NO3S,125.014664,Inactive,0,0
Titanocene dichloride,DTXSID3021354,1271-19-8,C10H10Cl2Ti,247.963898,Inactive,0,0
dl-alpha-Tocopheryl acetate,DTXSID3021356,52225-20-4,C31H52O3,472.391646,Inactive,0,0
Tolazamide,DTXSID3021358,1156-19-0,C14H21N3O3S,311.130363,Inactive,0,0
Vinyl acetate,DTXSID3021431,108-05-4,C4H6O2,86.036779,Inactive,0,0
4-Vinylcyclohexene,DTXSID3021437,100-40-3,C8H12,108.0939,Inactive,0,0
Phenylacetaldehyde,DTXSID3021483,122-78-1,C8H8O,120.057515,Inactive,0,0
"1,3-Benzenedicarboxylic acid",DTXSID3021485,121-91-5,C8H6O4,166.026609,Inactive,0,0
"1,2,4-Benzenetricarboxylic acid",DTXSID3021487,528-44-9,C9H6O6,210.016438,Inactive,0,0
Methyl ethyl ketone,DTXSID3021516,78-93-3,C4H8O,72.057515,Inactive,0,0
Fumaric acid,DTXSID3021518,110-17-8,C4H4O4,116.010959,Inactive,0,0
Dichloroacetonitrile,DTXSID3021562,3018-12-0,C2HCl2N,108.948604,Inactive,0,0
Nonanoic acid,DTXSID3021641,112-05-0,C9H18O2,158.13068,Inactive,0,0
Octanal,DTXSID3021643,124-13-0,C8H16O,128.120115,Inactive,0,0
Octanoic acid,DTXSID3021645,124-07-2,C8H16O2,144.11503,Inactive,0,0
Alpha-Ketovaleric acid,DTXSID3021647,1821-02-9,C5H8O3,116.047344,Inactive,0,0
Salicylamide,DTXSID3021726,65-45-2,C7H7NO2,137.047678,Inactive,0,0
"2,2',6,6'-Tetrachlorobisphenol A",DTXSID3021770,79-95-8,C15H12Cl4O2,363.95914,Active,37.32540108,2.236956725
"1,8-Diamino-p-menthane",DTXSID3021772,80-52-4,C10H22N2,170.178299,Inactive,0,0
Acenaphthene,DTXSID3021774,83-32-9,C12H10,154.07825,Inactive,0,0
Diphenyl phthalate,DTXSID3021778,84-62-8,C20H14O4,318.089209,Inactive,0,0
2-(N-Ethyl-m-toluidino)ethanol,DTXSID3021801,91-88-3,C11H17NO,179.131014,Inactive,0,0
1-Benzoylacetone,DTXSID3021803,93-91-4,C10H10O2,162.06808,Inactive,0,0
Piperine,DTXSID3021805,94-62-2,C17H19NO3,285.136493,Inactive,0,0
o-Xylene,DTXSID3021807,95-47-6,C8H10,106.07825,Inactive,0,0
2-Methyl-4-phenylbutan-2-ol,DTXSID3021851,103-05-9,C11H16O,164.120115,Inactive,0,0
1-Piperazineethanol,DTXSID3021853,103-76-4,C6H14N2O,130.110613,Inactive,0,0
Hexylamine,DTXSID3021930,111-26-2,C6H15N,101.120449,Inactive,0,0
Diethanolamine,DTXSID3021932,111-42-2,C4H11NO2,105.078979,Inactive,0,0
Hexanedinitrile,DTXSID3021936,111-69-3,C6H8N2,108.068748,Inactive,0,0
1-Bromooctane,DTXSID3021938,111-83-1,C8H17Br,192.051364,Inactive,0,0
Ethyl hexanoate,DTXSID3021980,123-66-0,C8H16O2,144.11503,Inactive,0,0
