PREFERRED NAME,DTXSID,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,PPARg_antagonist_ch1,PPARg_Emax,PPARg_assay
Diuron,DTXSID0020446,330-54-1,C9H10Cl2N2O,232.017018,Inactive,0,0
"1,2-Dichloropropane",DTXSID0020448,78-87-5,C3H6Cl2,111.984656,Inactive,0,0
Dimethyl methylphosphonate,DTXSID0020494,756-79-6,C3H9O3P,124.028931,Inactive,0,0
Dimethyl terephthalate,DTXSID0020498,120-61-6,C10H10O4,194.057909,Inactive,0,0
"2,4-Dinitrophenol",DTXSID0020523,51-28-5,C6H4N2O5,184.012021,Inactive,0,0
Dinitrosopiperazine,DTXSID0020527,140-79-4,C4H8N4O2,144.064726,Inactive,0,0
"2,4-Dinitrotoluene",DTXSID0020529,121-14-2,C7H6N2O4,182.032757,Inactive,0,0
17beta-Estradiol,DTXSID0020573,50-28-2,C18H24O2,272.17763,Inactive,0,0
Estragole,DTXSID0020575,140-67-0,C10H12O,148.088815,Inactive,0,0
Ethionamide,DTXSID0020577,536-33-4,C8H10N2S,166.05647,Inactive,0,0
Ethylene urea,DTXSID0020602,120-93-4,C3H6N2O,86.048013,Inactive,0,0
4-Vinyl-1-cyclohexene diepoxide,DTXSID0020604,106-87-6,C8H12O2,140.08373,Inactive,0,0
Bis(2-ethylhexyl)hexanedioate,DTXSID0020606,103-23-1,C22H42O4,370.30831,Inactive,0,0
Gallic acid,DTXSID0020650,149-91-7,C7H6O5,170.021523,Inactive,0,0
Gemfibrozil,DTXSID0020652,25812-30-0,C15H22O3,250.156895,Inactive,0,0
Geranyl acetate,DTXSID0020654,105-87-3,C12H20O2,196.14633,Inactive,0,0
Gibberellic acid,DTXSID0020656,1977/6/5,C19H22O6,346.141638,Inactive,0,0
Razoxane,DTXSID0020733,21416-67-1,C11H16N4O4,268.117155,Inactive,0,0
Indole,DTXSID0020737,120-72-9,C8H7N,117.057849,Inactive,0,0
Magnesium chloride hexahydrate,DTXSID0020789,7791-18-6,Cl2H12MgO6,201.986135,Inactive,0,0
6-Mercaptopurine,DTXSID0020810,50-44-2,C5H4N4S,152.015667,Inactive,0,0
Mestranol,DTXSID0020814,72-33-3,C21H26O2,310.19328,Inactive,0,0
Methapyrilene hydrochloride,DTXSID0020818,135-23-9,C14H20ClN3S,297.106647,Inactive,0,0
3-Methylcholanthrene,DTXSID0020862,56-49-5,C21H16,268.125201,Active,45.65652335,1.122101939
Dichloromethane,DTXSID0020868,1975/9/2,CH2Cl2,83.953356,Inactive,0,0
Sodium nitrite,DTXSID0020941,7632-00-0,NNaO2,68.982673,Inactive,0,0
5-Nitro-o-anisidine,DTXSID0020943,99-59-2,C7H8N2O3,168.053492,Inactive,0,0
N-Nitrosohexamethyleneimine,DTXSID0021040,932-83-2,C6H12N2O,128.094963,Inactive,0,0
"4,4'-Oxydianiline",DTXSID0021094,101-80-4,C12H12N2O,200.094963,Inactive,0,0
N-Oxydiethylene-2-benzothiazylsulfenamide,DTXSID0021096,102-77-2,C11H12N2OS2,252.039105,Inactive,0,0
Phenformin hydrochloride,DTXSID0021121,834-28-6,C10H16ClN5,241.109423,Inactive,0,0
Phenobarbital sodium,DTXSID0021123,57-30-7,C12H11N2NaO3,254.066736,Inactive,0,0
Phenolphthalein,DTXSID0021125,1977/9/8,C20H14O4,318.089209,Inactive,0,0
Phenoxybenzamine hydrochloride,DTXSID0021127,63-92-3,C18H23Cl2NO,339.11567,Active,43.42134845,1.295428626
"Isothiocyanic acid, phenyl ester",DTXSID0021129,103-72-0,C7H5NS,135.01427,Inactive,0,0
Polysorbate 80,DTXSID0021175,9005-65-6,, ,Inactive,0,0
Practolol,DTXSID0021179,6673-35-4,C14H22N2O3,266.163043,Inactive,0,0
"1,2-Propylene glycol",DTXSID0021206,57-55-6,C3H8O2,76.052429,Inactive,0,0
Safrole,DTXSID0021254,94-59-7,C10H10O2,162.06808,Inactive,0,0
Sulfasalazine,DTXSID0021256,599-79-1,C18H14N4O5S,398.068491,Inactive,0,0
