INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	IUPAC_NAME	DTXCID	INCHIKEY	SMILES	BIOCONCENTRATION_FACTOR	LOGP
DTXSID9021764	DSSTox_Substance_Id	DTXSID9021764	1-Amino-2-propanol	78-96-6	1-Aminopropan-2-ol	DTXCID901764	HXKKHQJGJAFBHI-UHFFFAOYSA-N	CC(O)CN	0.97051	-0.963546
DTXSID6020278	DSSTox_Substance_Id	DTXSID6020278	"1-Chloro-2,4-dinitrobenzene"	97-00-7	"1-Chloro-2,4-dinitrobenzene"	DTXCID00278	VYZAHLCBVHPDDF-UHFFFAOYSA-N	[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O	12.4165	2.1691
DTXSID6020438	DSSTox_Substance_Id	DTXSID6020438	"1,2-Dichloroethane"	107-06-2	"1,2-Dichloroethane"	DTXCID40438	WSLDOOZREJYCGB-UHFFFAOYSA-N	ClCCCl	8.27942	1.47638
DTXSID0021965	DSSTox_Substance_Id	DTXSID0021965	"1,2,4-Trichlorobenzene"	120-82-1	"1,2,4-Trichlorobenzene"	DTXCID701965	PBKONEOXTCPAFI-UHFFFAOYSA-N	ClC1=CC(Cl)=C(Cl)C=C1	1233.1	3.99445
DTXSID4020292	DSSTox_Substance_Id	DTXSID4020292	2-Chloroacetaldehyde	107-20-0	Chloroacetaldehyde	DTXCID60292	QSKPIOLLBIHNAC-UHFFFAOYSA-N	ClCC=O	 	0.541412
DTXSID1021877	DSSTox_Substance_Id	DTXSID1021877	2-Chloroethanol	107-07-3	2-Chloroethan-1-ol	DTXCID601877	SZIFAVKTNFCBPC-UHFFFAOYSA-N	OCCCl	1.77828	0.0292809
DTXSID5033179	DSSTox_Substance_Id	DTXSID5033179	alpha-Ketoglutaric acid	328-50-7	2-Oxopentanedioic acid	DTXCID3013179	KPGXRSRHYNQIFN-UHFFFAOYSA-N	OC(=O)CCC(=O)C(O)=O	0.0590201	-1.39487
DTXSID7025003	DSSTox_Substance_Id	DTXSID7025003	"2,5-Dichlorophenol"	583-78-8	"2,5-Dichlorophenol"	DTXCID705003	RANCECPPZPIPNO-UHFFFAOYSA-N	OC1=CC(Cl)=CC=C1Cl	43.451	3.0596
DTXSID4021212	DSSTox_Substance_Id	DTXSID4021212	"3,4-Dihydroxybenzoic acid"	99-50-3	"3,4-Dihydroxybenzoic acid"	DTXCID601212	YQUVCSBJEUQKSH-UHFFFAOYSA-N	OC(=O)C1=CC(O)=C(O)C=C1	1.05196	0.860561
DTXSID1026665	DSSTox_Substance_Id	DTXSID1026665	3-Pyridinecarbonitrile	100-54-9	Pyridine-3-carbonitrile	DTXCID606665	GZPHSAQLYPIAIN-UHFFFAOYSA-N	N#CC1=CN=CC=C1	3.38065	0.361324
DTXSID2047064	DSSTox_Substance_Id	DTXSID2047064	Hydrocinnamic acid	501-52-0	3-Phenylpropanoic acid	DTXCID0027064	XMIIGOLPHOKFCH-UHFFFAOYSA-N	OC(=O)CCC1=CC=CC=C1	2.56448	1.84183
DTXSID6035106	DSSTox_Substance_Id	DTXSID6035106	4-Aminobutanoic acid	1956/12/2	4-Aminobutanoic acid	DTXCID4015106	BTCSSZJGUNDROE-UHFFFAOYSA-N	NCCCC(O)=O	0.698232	-3.16697
DTXSID3026647	DSSTox_Substance_Id	DTXSID3026647	4-Hydroxybenzoic acid	99-96-7	4-Hydroxybenzoic acid	DTXCID806647	FJKROLUGYXJWQN-UHFFFAOYSA-N	OC(=O)C1=CC=C(O)C=C1	1.53815	1.57746
DTXSID8020597	DSSTox_Substance_Id	DTXSID8020597	Ethylene glycol	107-21-1	"Ethane-1,2-diol"	DTXCID40597	LYCAIKOWRPUZTN-UHFFFAOYSA-N	OCCO	0.74131	-1.35982
DTXSID5024394	DSSTox_Substance_Id	DTXSID5024394	Acetic acid	64-19-7	Acetic acid	DTXCID304394	QTBSBXVTEAMEQO-UHFFFAOYSA-N	CC(O)=O	0.599791	-0.170189
DTXSID5039224	DSSTox_Substance_Id	DTXSID5039224	Acetaldehyde	75-07-0	Acetaldehyde	DTXCID202	IKHGUXGNUITLKF-UHFFFAOYSA-N	CC=O	 	-0.33813
DTXSID7020005	DSSTox_Substance_Id	DTXSID7020005	Acetamide	60-35-5	Acetamide	DTXCID505	DLFVBJFMPXGRIB-UHFFFAOYSA-N	CC(N)=O	0.636796	-1.17478
DTXSID0024399	DSSTox_Substance_Id	DTXSID0024399	Acetoin	513-86-0	3-Hydroxybutan-2-one	DTXCID304399	ROWKJAVDOGWPAT-UHFFFAOYSA-N	CC(O)C(C)=O	1.11429	-0.158187
DTXSID8021482	DSSTox_Substance_Id	DTXSID8021482	Acetone	67-64-1	Propan-2-one	DTXCID101482	CSCPPACGZOOCGX-UHFFFAOYSA-N	CC(C)=O	1.91426	-0.23752
DTXSID6022557	DSSTox_Substance_Id	DTXSID6022557	Adenine	73-24-5	9H-Purin-6-amine	DTXCID502557	GFFGJBXGBJISGV-UHFFFAOYSA-N	NC1=NC=NC2=C1N=CN2	1.1324	-0.0907432
DTXSID7021605	DSSTox_Substance_Id	DTXSID7021605	Hexanedioic acid	124-04-9	Hexanedioic acid	DTXCID301605	WNLRTRBMVRJNCN-UHFFFAOYSA-N	OC(=O)CCCCC(O)=O	0.23	0.0798162
DTXSID3020043	DSSTox_Substance_Id	DTXSID3020043	Allantoin	97-59-6	"N-(2,5-Dioxoimidazolidin-4-yl)urea"	DTXCID0043	POJWUDADGALRAB-UHFFFAOYSA-N	NC(=O)NC1NC(=O)NC1=O	0.0157761	-1.35991
DTXSID8020094	DSSTox_Substance_Id	DTXSID8020094	Anthranilic acid	118-92-3	2-Aminobenzoic acid	DTXCID7094	RWZYAGGXGHYGMB-UHFFFAOYSA-N	NC1=C(C=CC=C1)C(O)=O	0.816582	1.20837
DTXSID8039241	DSSTox_Substance_Id	DTXSID8039241	Benzaldehyde	100-52-7	Benzaldehyde	DTXCID90134	HUMNYLRZRPPJDN-UHFFFAOYSA-N	O=CC1=CC=CC=C1	6.16	1.47434
DTXSID3039242	DSSTox_Substance_Id	DTXSID3039242	Benzene	71-43-2	Benzene	DTXCID20135	UHOVQNZJYSORNB-UHFFFAOYSA-N	C1=CC=CC=C1	34.0408	2.13105
DTXSID6020143	DSSTox_Substance_Id	DTXSID6020143	Benzoic acid	65-85-0	Benzoic acid	DTXCID80143	WPYMKLBDIGXBTP-UHFFFAOYSA-N	OC(=O)C1=CC=CC=C1	1.47571	1.87054
DTXSID5020152	DSSTox_Substance_Id	DTXSID5020152	Benzyl alcohol	100-51-6	Phenylmethanol	DTXCID70152	WVDDGKGOMKODPV-UHFFFAOYSA-N	OCC1=CC=CC=C1	6.16	1.10165
DTXSID8022666	DSSTox_Substance_Id	DTXSID8022666	Betaine	107-43-7	(Trimethylazaniumyl)acetate	DTXCID602666	KWIUHFFTVRNATP-UHFFFAOYSA-N	C[N+](C)(C)CC([O-])=O	 	-0.125518
DTXSID8021513	DSSTox_Substance_Id	DTXSID8021513	Butyraldehyde	123-72-8	Butanal	DTXCID601513	ZTQSAGDEMFDKMZ-UHFFFAOYSA-N	CCCC=O	 	0.879054
DTXSID8041321	DSSTox_Substance_Id	DTXSID8041321	"2,3-Butanediol"	513-85-9	"Butane-2,3-diol"	DTXCID6021321	OWBTYPJTUOEWEK-UHFFFAOYSA-N	CC(O)C(C)O	1.38038	-0.916022
DTXSID1021740	DSSTox_Substance_Id	DTXSID1021740	1-Butanol	71-36-3	Butan-1-ol	DTXCID701740	LRHPLDYGYMQRHN-UHFFFAOYSA-N	CCCCO	3.34965	0.879541
DTXSID8021515	DSSTox_Substance_Id	DTXSID8021515	Butanoic acid	107-92-6	Butanoic acid	DTXCID401515	FERIUCNNQQJTOY-UHFFFAOYSA-N	CCCC(O)=O	1.41	0.790824
DTXSID3020257	DSSTox_Substance_Id	DTXSID3020257	"1,?2-?Benzenediol"	120-80-9	"Benzene-1,2-diol"	DTXCID30257	YCIMNLLNPGFGHC-UHFFFAOYSA-N	OC1=C(O)C=CC=C1	5.05825	0.879361
DTXSID1020770	DSSTox_Substance_Id	DTXSID1020770	Kepone	143-50-0	"1,1a,3,3a,4,5,5,5a,5b,6-Decachlorooctahydro-2H-1,3,4-(methanetriyl)cyclobuta[cd]pentalen-2-one"	DTXCID10770	LHHGDZSESBACKH-UHFFFAOYSA-N	ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl	 	5.41094
DTXSID4020901	DSSTox_Substance_Id	DTXSID4020901	Chloroacetic acid	1979/11/8	Chloroacetic acid	DTXCID20901	FOCAUTSVDIKZOP-UHFFFAOYSA-N	OC(=O)CCl	0.77983	0.220273
DTXSID1024835	DSSTox_Substance_Id	DTXSID1024835	3-Phenylprop-2-enal	104-55-2	3-Phenylprop-2-enal	DTXCID904835	KJPRLNWUNMBNBZ-UHFFFAOYSA-N	O=CC=CC1=CC=CC=C1	 	1.89921
DTXSID9041491	DSSTox_Substance_Id	DTXSID9041491	3-Phenyl-2-propen-1-ol	104-54-1	3-Phenylprop-2-en-1-ol	DTXCID7021491	OOCCDEMITAIZTP-UHFFFAOYSA-N	OCC=CC1=CC=CC=C1	7.2277	1.94886
DTXSID3020332	DSSTox_Substance_Id	DTXSID3020332	Citric acid	77-92-9	"2-Hydroxypropane-1,2,3-tricarboxylic acid"	DTXCID50332	KRKNYBCHXYNGOX-UHFFFAOYSA-N	OC(=O)CC(O)(CC(O)=O)C(O)=O	0.0345939	-1.64024
DTXSID7020348	DSSTox_Substance_Id	DTXSID7020348	Coumarin	91-64-5	2H-1-Benzopyran-2-one	DTXCID50348	ZYGHJZDHTFUPRJ-UHFFFAOYSA-N	O=C1OC2=C(C=CC=C2)C=C1	 	1.39143
DTXSID0021626	DSSTox_Substance_Id	DTXSID0021626	4-Isopropylbenzyl alcohol	536-60-7	[4-(Propan-2-yl)phenyl]methanol	DTXCID301626	OIGWAXDAPKFNCQ-UHFFFAOYSA-N	CC(C)C1=CC=C(CO)C=C1	15.0314	2.51955
DTXSID9021974	DSSTox_Substance_Id	DTXSID9021974	4-Isopropylbenzaldehyde	122-03-2	4-(Propan-2-yl)benzaldehyde	DTXCID601974	WTWBUQJHJGUZCY-UHFFFAOYSA-N	CC(C)C1=CC=C(C=O)C=C1	 	2.69687
DTXSID7052529	DSSTox_Substance_Id	DTXSID7052529	2-Methoxy-4-vinylphenol	7786-61-0	4-Ethenyl-2-methoxyphenol	DTXCID8031102	YOMSJEATGXXYPX-UHFFFAOYSA-N	COC1=C(O)C=CC(C=C)=C1	16.0694	2.22529
DTXSID8021808	DSSTox_Substance_Id	DTXSID8021808	o-Cresol	95-48-7	2-Methylphenol	DTXCID901808	QWVGKYWNOKOFNN-UHFFFAOYSA-N	CC1=C(O)C=CC=C1	11.3501	1.95091
DTXSID7026368	DSSTox_Substance_Id	DTXSID7026368	Salicylic acid	69-72-7	2-Hydroxybenzoic acid	DTXCID206368	YGSDEFSMJLZEOE-UHFFFAOYSA-N	OC(=O)C1=C(O)C=CC=C1	1.18	2.26129
DTXSID6024200	DSSTox_Substance_Id	DTXSID6024200	m-Cresol	108-39-4	3-Methylphenol	DTXCID804200	RLSSMJSEOOYNOY-UHFFFAOYSA-N	CC1=CC(O)=CC=C1	11.3501	1.95957
DTXSID0026882	DSSTox_Substance_Id	DTXSID0026882	Octane	111-65-9	Octane	DTXCID406882	TVMXDCGIABBOFY-UHFFFAOYSA-N	CCCCCCCC	580.764	5.17863
DTXSID0020650	DSSTox_Substance_Id	DTXSID0020650	Gallic acid	149-91-7	"3,4,5-Trihydroxybenzoic acid"	DTXCID60650	LNTHITQWFMADLM-UHFFFAOYSA-N	OC(=O)C1=CC(O)=C(O)C(O)=C1	0.516416	0.69942
DTXSID3021645	DSSTox_Substance_Id	DTXSID3021645	Octanoic acid	124-07-2	Octanoic acid	DTXCID501645	WWZKQHOCKIZLMA-UHFFFAOYSA-N	CCCCCCCC(O)=O	9.54993	3.04853
DTXSID5021598	DSSTox_Substance_Id	DTXSID5021598	Heptanedioic acid	111-16-0	Heptanedioic acid	DTXCID001598	WLJVNTCWHIRURA-UHFFFAOYSA-N	OC(=O)CCCCCC(O)=O	0.212814	0.609227
DTXSID6020981	DSSTox_Substance_Id	DTXSID6020981	2-Nitropropane	79-46-9	2-Nitropropane	DTXCID80981	FGLBSLMDCBOPQK-UHFFFAOYSA-N	CC(C)[N+]([O-])=O	 	1.13979
DTXSID3024499	DSSTox_Substance_Id	DTXSID3024499	4-Aminophenol	123-30-8	4-Aminophenol	DTXCID504499	PLIKAWJENQZMHA-UHFFFAOYSA-N	NC1=CC=C(O)C=C1	7.03072	0.043623
DTXSID9024770	DSSTox_Substance_Id	DTXSID9024770	3-Chlorobenzoic acid	535-80-8	3-Chlorobenzoic acid	DTXCID904770	LULAYUGMBFYYEX-UHFFFAOYSA-N	OC(=O)C1=CC=CC(Cl)=C1	2.81838	2.6766
DTXSID3021643	DSSTox_Substance_Id	DTXSID3021643	Octanal	124-13-0	Octanal	DTXCID701643	NUJGJRNETVAIRJ-UHFFFAOYSA-N	CCCCCCCC=O	 	2.76889
DTXSID0023113	DSSTox_Substance_Id	DTXSID0023113	2-Methoxyphenol	1990/5/1	2-Methoxyphenol	DTXCID003113	LHGVFZTZFXWLCP-UHFFFAOYSA-N	COC1=C(O)C=CC=C1	9.2683	1.31993
DTXSID9046073	DSSTox_Substance_Id	DTXSID9046073	Hippuric acid	495-69-2	N-Benzoylglycine	DTXCID7026073	QIAFMBKCNZACKA-UHFFFAOYSA-N	OC(=O)CNC(=O)C1=CC=CC=C1	0.656145	0.309926
DTXSID0027640	DSSTox_Substance_Id	DTXSID0027640	Malic acid	6915-15-7	2-Hydroxybutanedioic acid	DTXCID107640	BJEPYKJPYRNKOW-UHFFFAOYSA-N	OC(CC(O)=O)C(O)=O	0.150661	-1.2627
DTXSID2021658	DSSTox_Substance_Id	DTXSID2021658	Propanal	123-38-6	Propanal	DTXCID001658	NBBJYMSMWIIQGU-UHFFFAOYSA-N	CCC=O	 	0.589061
DTXSID5022061	DSSTox_Substance_Id	DTXSID5022061	4-Nitrobenzaldehyde	555-16-8	4-Nitrobenzaldehyde	DTXCID402061	BXRFQSNOROATLV-UHFFFAOYSA-N	[O-][N+](=O)C1=CC=C(C=O)C=C1	 	1.56061
DTXSID2045107	DSSTox_Substance_Id	DTXSID2045107	Phosphonoacetic acid	4408-78-0	Phosphonoacetic acid	DTXCID0025107	XUYJLQHKOGNDPB-UHFFFAOYSA-N	OC(=O)CP(O)(O)=O	0.183231	-0.837605
DTXSID0020070	DSSTox_Substance_Id	DTXSID0020070	Aminocaproic acid	60-32-2	6-Aminohexanoic acid	DTXCID7070	SLXKOJJOQWFEFD-UHFFFAOYSA-N	NCCCCCC(O)=O	0.61235	-2.94758
DTXSID2021993	DSSTox_Substance_Id	DTXSID2021993	Dibenzofuran	132-64-9	"Dibenzo[b,d]furan"	DTXCID801993	TXCDCPKCNAJMEE-UHFFFAOYSA-N	O1C2=CC=CC=C2C2=C1C=CC=C2	559.758	4.12062
DTXSID8045987	DSSTox_Substance_Id	DTXSID8045987	Creatinine	60-27-5	2-Imino-1-methylimidazolidin-4-one	DTXCID6025987	DDRJAANPRJIHGJ-UHFFFAOYSA-N	CN1CC(=O)NC1=N	0.195884	-1.75668
DTXSID5046988	DSSTox_Substance_Id	DTXSID5046988	DL-Cysteine	3374-22-9	Cysteine	DTXCID3026988	XUJNEKJLAYXESH-UHFFFAOYSA-N	NC(CS)C(O)=O	 	-2.48586
DTXSID4044456	DSSTox_Substance_Id	DTXSID4044456	Cytosine	71-30-7	6-Aminopyrimidin-2(1H)-one	DTXCID2024456	OPTASPLRGRRNAP-UHFFFAOYSA-N	NC1=CC=NC(=O)N1	0.644169	-1.72812
DTXSID7023192	DSSTox_Substance_Id	DTXSID7023192	Lactic acid	50-21-5	2-Hydroxypropanoic acid	DTXCID003192	JVTAAEKCZFNVCJ-UHFFFAOYSA-N	CC(O)C(O)=O	0.403645	-0.720713
DTXSID9041104	DSSTox_Substance_Id	DTXSID9041104	DL-Proline	609-36-9	Proline	DTXCID7021104	ONIBWKKTOPOVIA-UHFFFAOYSA-N	OC(=O)C1CCCN1	0.65013	-2.54086
DTXSID6021583	DSSTox_Substance_Id	DTXSID6021583	"2,3-Butanedione"	431-03-8	"Butane-2,3-dione"	DTXCID701583	QSJXEFYPDANLFS-UHFFFAOYSA-N	CC(=O)C(C)=O	0.954993	-1.33587
DTXSID2020474	DSSTox_Substance_Id	DTXSID2020474	"3,4-Dihydrocoumarin"	119-84-6	"3,4-Dihydro-2H-1-benzopyran-2-one"	DTXCID00474	VMUXSMXIQBNMGZ-UHFFFAOYSA-N	O=C1CCC2=C(O1)C=CC=C2	 	1.37498
DTXSID0037730	DSSTox_Substance_Id	DTXSID0037730	"1,4-Dihydroxy-2-naphthoic acid"	31519-22-9	"1,4-Dihydroxynaphthalene-2-carboxylic acid"	DTXCID8017730	VOJUXHHACRXLTD-UHFFFAOYSA-N	OC(=O)C1=C(O)C2=CC=CC=C2C(O)=C1	1.33352	2.16211
DTXSID5024057	DSSTox_Substance_Id	DTXSID5024057	Dimethylamine	124-40-3	N-Methylmethanamine	DTXCID704057	ROSDSFDQCJNGOL-UHFFFAOYSA-N	CNC	1.07	-0.379175
DTXSID2021735	DSSTox_Substance_Id	DTXSID2021735	Dimethyl sulfoxide	67-68-5	(Methanesulfinyl)methane	DTXCID401735	IAZDPXIOMUYVGZ-UHFFFAOYSA-N	CS(C)=O	1.43549	-1.34841
DTXSID6022420	DSSTox_Substance_Id	DTXSID6022420	Dopamine	51-61-6	"4-(2-Aminoethyl)benzene-1,2-diol"	DTXCID602420	VYFYYTLLBUKUHU-UHFFFAOYSA-N	NCCC1=CC(O)=C(O)C=C1	1.47571	-0.979542
DTXSID6022000	DSSTox_Substance_Id	DTXSID6022000	Ethanolamine	141-43-5	2-Aminoethan-1-ol	DTXCID202000	HZAXFHJVJLSVMW-UHFFFAOYSA-N	NCCO	0.66	-1.31189
DTXSID2033493	DSSTox_Substance_Id	DTXSID2033493	Ethyl-2-methyl acetoacetate	609-14-3	Ethyl 2-methyl-3-oxobutanoate	DTXCID0013493	FNENWZWNOPCZGK-UHFFFAOYSA-N	CCOC(=O)C(C)C(C)=O	2.6485	0.793824
DTXSID9020584	DSSTox_Substance_Id	DTXSID9020584	Ethanol	64-17-5	Ethanol	DTXCID30584	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	CCO	1.25893	-0.309717
DTXSID8025337	DSSTox_Substance_Id	DTXSID8025337	Formamide	1975/12/7	Formamide	DTXCID805337	ZHNUHDYFZUAESO-UHFFFAOYSA-N	NC=O	0.308319	-1.50846
DTXSID2020686	DSSTox_Substance_Id	DTXSID2020686	Lindane	58-89-9	"(1R,2S,3r,4R,5S,6r)-1,2,3,4,5,6-Hexachlorocyclohexane"	DTXCID40196532	JLYXXMFPNIAWKQ-GNIYUCBRNA-N	Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl	157.761	3.71918
DTXSID2021654	DSSTox_Substance_Id	DTXSID2021654	Glutaric acid	110-94-1	Pentanedioic acid	DTXCID401654	JFCQEDHGNNZCLN-UHFFFAOYSA-N	OC(=O)CCCC(O)=O	0.25704	-0.289711
DTXSID9020667	DSSTox_Substance_Id	DTXSID9020667	Glycine	56-40-6	Glycine	DTXCID90667	DHMQDGOQFOQNFH-UHFFFAOYSA-N	NCC(O)=O	0.287078	-3.20273
DTXSID9020663	DSSTox_Substance_Id	DTXSID9020663	Glycerol	56-81-5	"Propane-1,2,3-triol"	DTXCID40662	PEDCQBHIVMGVHV-UHFFFAOYSA-N	OCC(O)CO	0.566239	-1.86013
DTXSID0025363	DSSTox_Substance_Id	DTXSID0025363	Glycolic acid	79-14-1	Hydroxyacetic acid	DTXCID105363	AEMRFAOFKBGASW-UHFFFAOYSA-N	OCC(O)=O	0.311889	-1.11093
DTXSID4023125	DSSTox_Substance_Id	DTXSID4023125	Histamine	51-45-6	2-(1H-Imidazol-5-yl)ethan-1-amine	DTXCID103125	NTYJJOPFIAHURM-UHFFFAOYSA-N	NCCC1=CN=CN1	1.33352	-0.698178
DTXSID7020716	DSSTox_Substance_Id	DTXSID7020716	Hydroquinone	123-31-9	"Benzene-1,4-diol"	DTXCID70716	QIGBRXMKCJKVMJ-UHFFFAOYSA-N	OC1=CC=C(O)C=C1	13.43	0.593337
DTXSID8045983	DSSTox_Substance_Id	DTXSID8045983	Hypoxanthine	68-94-0	"3,7-Dihydro-6H-purin-6-one"	DTXCID6025983	FDGQSTZJBFJUBT-UHFFFAOYSA-N	O=C1N=CNC2=C1NC=N2	1.04713	-1.10887
DTXSID2046882	DSSTox_Substance_Id	DTXSID2046882	DL-Isoleucine	443-79-8	L-Isoleucine	DTXCID201323037	AGPKZVBTJJNPAG-GADJSHNENA-N	CC[C@H](C)[C@H](N)C(O)=O	 	-1.71877
DTXSID2029616	DSSTox_Substance_Id	DTXSID2029616	Imidazole	288-32-4	1H-Imidazole	DTXCID809616	RAXXELZNTBOGNW-UHFFFAOYSA-N	N1C=CN=C1	0.937562	-0.0796874
DTXSID0020737	DSSTox_Substance_Id	DTXSID0020737	Indole	120-72-9	1H-Indole	DTXCID40737	SIKJAQJRHWYJAI-UHFFFAOYSA-N	N1C=CC2=C1C=CC=C2	14.7	2.14105
DTXSID5020738	DSSTox_Substance_Id	DTXSID5020738	Indole-3-acetic acid	87-51-4	(1H-Indol-3-yl)acetic acid	DTXCID70738	SEOVTRFCIGRIMH-UHFFFAOYSA-N	OC(=O)CC1=CNC2=C1C=CC=C2	2.12814	1.41111
DTXSID3042053	DSSTox_Substance_Id	DTXSID3042053	Indole-3-pyruvic acid	392-12-1	3-(1H-Indol-3-yl)-2-oxopropanoic acid	DTXCID1022053	RSTKLPZEZYGQPY-UHFFFAOYSA-N	OC(=O)C(=O)CC1=CNC2=C1C=CC=C2	1.38995	1.51965
DTXSID2026608	DSSTox_Substance_Id	DTXSID2026608	Methylenebutanedioic acid	97-65-4	2-Methylidenebutanedioic acid	DTXCID006608	LVHBHZANLOWSRM-UHFFFAOYSA-N	OC(=O)CC(=C)C(O)=O	0.311889	-0.26055
DTXSID7042514	DSSTox_Substance_Id	DTXSID7042514	Xylitol	87-99-0	Pentitol	DTXCID60209830	HEBKCHPVOIAQTA-UHFFFAOYSA-N	OCC(O)C(O)C(O)CO	0.141906	-2.45844
DTXSID2046541	DSSTox_Substance_Id	DTXSID2046541	DL-Lipoamide	940-69-2	"5-(1,2-Dithiolan-3-yl)pentanamide"	DTXCID0026541	FCCDDURTIIUXBY-UHFFFAOYSA-N	NC(=O)CCCCC1CCSS1	3.86367	1.57225
DTXSID7025508	DSSTox_Substance_Id	DTXSID7025508	(+-)-Lipoic acid	1077-28-7	"5-(1,2-Dithiolan-3-yl)pentanoic acid"	DTXCID705508	AGBQKNBQESQNJD-UHFFFAOYSA-N	OC(=O)CCCCC1CCSS1	3.35738	2.24942
DTXSID7021659	DSSTox_Substance_Id	DTXSID7021659	Propanedioic acid	141-82-2	Propanedioic acid	DTXCID401659	OFOBLEOULBTSOW-UHFFFAOYSA-N	OC(=O)CC(O)=O	0.205116	-0.811159
DTXSID5046986	DSSTox_Substance_Id	DTXSID5046986	dl-Tartaric acid	133-37-9	"(2S,3S)-2,3-Dihydroxybutanedioic acid"	DTXCID501516499	FEWJPZIEWOKRBE-DLDCVFTPNA-N	O[C@@H]([C@H](O)C(O)=O)C(O)=O	 	 
DTXSID9020821	DSSTox_Substance_Id	DTXSID9020821	DL-Methionine	59-51-8	Methionine	DTXCID50821	FFEARJCKVFRZRR-UHFFFAOYSA-N	CSCCC(N)C(O)=O	0.472063	-1.86786
DTXSID0021628	DSSTox_Substance_Id	DTXSID0021628	Methyl glyoxal	78-98-8	2-Oxopropanal	DTXCID101628	AIJULSRZWUXGPQ-UHFFFAOYSA-N	CC(=O)C=O	 	-0.278445
DTXSID2021731	DSSTox_Substance_Id	DTXSID2021731	Methanol	67-56-1	Methanol	DTXCID801731	OKKJLVBELUTLKV-UHFFFAOYSA-N	CO	0.530884	-0.768744
DTXSID7023146	DSSTox_Substance_Id	DTXSID7023146	myo-Inositol	87-89-8	"(1R,2S,3r,4R,5S,6s)-Cyclohexane-1,2,3,4,5,6-hexol"	DTXCID2065254	CDAISMWEOUEBRE-GPIVLXJGNA-N	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O	0.202302	-2.44001
DTXSID1022421	DSSTox_Substance_Id	DTXSID1022421	Melatonin	73-31-4	N-[2-(5-Methoxy-1H-indol-3-yl)ethyl]acetamide	DTXCID002421	DRLFMBDRBRZALE-UHFFFAOYSA-N	COC1=CC2=C(NC=C2CCNC(C)=O)C=C1	3.55631	0.611809
DTXSID2022543	DSSTox_Substance_Id	DTXSID2022543	N-Acetylaminobenzene	103-84-4	N-Phenylacetamide	DTXCID602543	FZERHIULMFGESH-UHFFFAOYSA-N	CC(=O)NC1=CC=CC=C1	2.24388	1.16256
DTXSID8020913	DSSTox_Substance_Id	DTXSID8020913	Naphthalene	91-20-3	Naphthalene	DTXCID00913	UFWIBTONFRDIAS-UHFFFAOYSA-N	C1=CC2=CC=CC=C2C=C1	244.67	3.29634
DTXSID2020929	DSSTox_Substance_Id	DTXSID2020929	Niacinamide	98-92-0	Pyridine-3-carboxamide	DTXCID00929	DFPAKSUCGFBDDF-UHFFFAOYSA-N	NC(=O)C1=CC=CN=C1	1.40929	-0.369796
DTXSID1020932	DSSTox_Substance_Id	DTXSID1020932	Nicotinic acid	59-67-6	Pyridine-3-carboxylic acid	DTXCID10932	PVNIIMVLHYAWGP-UHFFFAOYSA-N	OC(=O)C1=CC=CN=C1	1.04954	0.357954
DTXSID2020507	DSSTox_Substance_Id	DTXSID2020507	"N,N-Dimethylaniline"	121-69-7	"N,N-Dimethylaniline"	DTXCID60507	JLTDJTHDQAWBAV-UHFFFAOYSA-N	CN(C)C1=CC=CC=C1	16.2555	2.31112
DTXSID7021940	DSSTox_Substance_Id	DTXSID7021940	1-Octanol	111-87-5	Octan-1-ol	DTXCID101940	KBPLFHHGFOOTCA-UHFFFAOYSA-N	CCCCCCCCO	48.9779	2.99985
DTXSID0025814	DSSTox_Substance_Id	DTXSID0025814	Orotic acid	65-86-1	"2,6-Dihydroxypyrimidine-4-carboxylic acid"	DTXCID005814	PXQPEWDEAKTCGB-UHFFFAOYSA-N	OC(=O)C1=CC(O)=NC(O)=N1	0.54325	-0.830054
DTXSID8021646	DSSTox_Substance_Id	DTXSID8021646	2-Oxobutanedioic acid	328-42-7	2-Oxobutanedioic acid	DTXCID901646	KHPXUQMNIQBQEV-UHFFFAOYSA-N	OC(=O)CC(=O)C(O)=O	0.0797995	-0.972051
DTXSID0025816	DSSTox_Substance_Id	DTXSID0025816	Oxalic acid	144-62-7	Oxalic acid	DTXCID805816	MUBZPKHOEPUJKR-UHFFFAOYSA-N	OC(=O)C(O)=O	0.172187	-0.85548
DTXSID6024466	DSSTox_Substance_Id	DTXSID6024466	4-Aminobenzoic acid	150-13-0	4-Aminobenzoic acid	DTXCID404466	ALYNCZNDIQEVRV-UHFFFAOYSA-N	NC1=CC=C(C=C1)C(O)=O	1.0666	0.824077
DTXSID0021834	DSSTox_Substance_Id	DTXSID0021834	4-Nitrophenol	100-02-7	4-Nitrophenol	DTXCID201834	BTJIUGUIPKRLHP-UHFFFAOYSA-N	OC1=CC=C(C=C1)[N+]([O-])=O	7.65597	1.91211
