INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	IUPAC_NAME	DTXCID	INCHIKEY	SMILES	BIOCONCENTRATION_FACTOR	LOGP
DTXSID0045965	DSSTox_Substance_Id	DTXSID0045965	Quinine ethyl carbonate	83-75-0	Ethyl (9R)-6'-methoxy-8alpha-cinchonan-9-yl carbonate	DTXCID8025965	NSBRKSWSLRQPJW-WWLNLUSPSA-N	CCOC(=O)O[C@@H]([C@@H]1C[C@@H]2CC[N@]1C[C@@H]2C=C)C1=CC=NC2=CC=C(OC)C=C12	 	4.38808
DTXSID4048771	DSSTox_Substance_Id	DTXSID4048771	Levomequitazine	88598-74-7	10-{[(3S)-1-Azabicyclo[2.2.2]octan-3-yl]methyl}-10H-phenothiazine	DTXCID7028697	HOKDBMAJZXIPGC-INIZCTEOSA-N	C([C@@H]1CN2CCC1CC2)N1C2=C(SC3=C1C=CC=C3)C=CC=C2	 	5.56124
DTXSID5052597	DSSTox_Substance_Id	DTXSID5052597	Diethyl L-tartrate	87-91-2	"Diethyl (2R,3R)-2,3-dihydroxybutanedioate"	DTXCID6031170	YSAVZVORKRDODB-PHDIDXHHSA-N	CCOC(=O)[C@H](O)[C@@H](O)C(=O)OCC	0.300608	-0.291363
DTXSID0049288	DSSTox_Substance_Id	DTXSID0049288	(1S)-1-Phenyl-1-propanamine	3789-59-1	(1S)-1-Phenylpropan-1-amine	DTXCID9029144	AQFLVLHRZFLDDV-VIFPVBQESA-N	CC[C@H](N)C1=CC=CC=C1	9.07821	1.86134
DTXSID6044307	DSSTox_Substance_Id	DTXSID6044307	(1R)-endo-(+)-Fenchyl alcohol	2217/2/9	"(1R,2R,4S)-1,3,3-Trimethylbicyclo[2.2.1]heptan-2-ol"	DTXCID4024307	IAIHUHQCLTYTSF-OYNCUSHFSA-N	CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1O	47.2063	3.1702
DTXSID4042335	DSSTox_Substance_Id	DTXSID4042335	Butyl (2S)-2-hydroxypropanoate	34451-19-9	Butyl (2S)-2-hydroxypropanoate	DTXCID2022335	MRABAEUHTLLEML-LURJTMIESA-N	CCCCOC(=O)[C@H](C)O	3.70681	1.67196
DTXSID6045084	DSSTox_Substance_Id	DTXSID6045084	"(2R,3R)-2,3-Dimercaptosuccinic acid"	27887-84-9	"(2S,3S)-2,3-Bis(sulfanyl)butanedioic acid"	DTXCID4032370	ACTRVOBWPAIOHC-JCYAYHJZSA-N	OC(=O)[C@H](S)[C@@H](S)C(O)=O	 	-0.0888535
DTXSID4020088	DSSTox_Substance_Id	DTXSID4020088	Chloralose	15879-93-3	"1,2-O-[(1R)-2,2,2-Trichloroethylidene]-alpha-D-glucofuranose"	DTXCID4088	OJYGBLRPYBAHRT-IPQSZEQASA-N	OC[C@@H](O)[C@H]1O[C@@H]2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl	2.8774	1.01727
DTXSID5023584	DSSTox_Substance_Id	DTXSID5023584	Sitosterol alpha1	474-40-8	"(24Z)-4alpha-Methyl-5alpha-stigmasta-7,24(28)-dien-3beta-ol"	DTXCID303584	LPZCCMIISIBREI-JXMPMKKESA-N	C\C=C(\CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@H](C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	872.971	8.91666
DTXSID9030707	DSSTox_Substance_Id	DTXSID9030707	alpha-Solanine	20562-02-1	Solanid-5-en-3beta-yl 6-deoxy-alpha-L-mannopyranosyl-(1->2)-[beta-D-glucopyranosyl-(1->3)]-beta-D-galactopyranoside	DTXCID601527922	ZGVSETXHNHBTRK-UDJLNJFBSA-N	[H][C@]12CC[C@H](C)CN1[C@@]1([H])C[C@@]3([H])[C@]4([H])CC=C5C[C@H](CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@@H]2C)O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O	 	 
