DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020523,"2,4-Dinitrophenol",51-28-5,C6H4N2O5,184.012021,129,572,23.0,Inactive,0.12061260912040002,0.20392796269269642,0.00900000006278815,-2.0457574875308366
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020529,"2,4-Dinitrotoluene",121-14-2,C7H6N2O4,182.032757,21,601,3.0,Inactive,-0.2987107873788692,-0.5050506970104253,100,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020604,4-Vinyl-1-cyclohexene diepoxide,106-87-6,C8H12O2,140.083730,10,579,2.0,Inactive,-0.17532250835630986,-0.29642971994400164,170.70029558579265,2.2322342731426628
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020606,Bis(2-ethylhexyl)hexanedioate,103-23-1,C22H42O4,370.308310,6,582,1.0,Inactive,-0.1483951448006473,-0.25090179023053144,1.7597805126668036,0.2454585041312523
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020573,17beta-Estradiol,50-28-2,C18H24O2,272.177630,188,657,29.0,Inactive,-0.17428396507668492,-0.2946737840039152,0.08000000147136889,-1.096910005020464
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020575,Estragole,140-67-0,C10H12O,148.088815,3,345,1.0,Inactive,-0.05643012345810536,-0.09541025764413541,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020577,Ethionamide,536-33-4,C8H10N2S,166.056470,3,321,1.0,Inactive,0.19478636502551572,0.3293385896354911,183.46784607595464,2.2635599623462697
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020652,Gemfibrozil,25812-30-0,C15H22O3,250.156895,18,379,5.0,Inactive,0.14087056747711754,0.23817947425625946,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020654,Geranyl acetate,105-87-3,C12H20O2,196.146330,7,584,1.0,Inactive,0.05266913604449729,0.08905129976598897,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020737,Indole,120-72-9,C8H7N,117.057849,5,354,1.0,Inactive,-0.20249770242976878,-0.34237667361322455,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020656,Gibberellic acid,77-06-5,C19H22O6,346.141638,1,345,0.0,Inactive,0.028027008967700905,0.04738717519532109,0.13606531315226594,-0.8662525744774777
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020814,Mestranol,72-33-3,C21H26O2,310.193280,131,527,25.0,Inactive,0.5530587806173545,0.935094192913269,14.505117169826857,1.1615212413085363
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021040,N-Nitrosohexamethyleneimine,932-83-2,C6H12N2O,128.094963,2,319,1.0,Inactive,-0.018951246713386376,-0.03204216508482679,0.08000000482606087,-1.096909986808912
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020941,Sodium nitrite,7632-00-0,NNaO2,68.982673,1,575,0.0,Inactive,0.16339602213161553,0.27626479642877805,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020943,5-Nitro-o-anisidine,99-59-2,C7H8N2O3,168.053492,21,601,3.0,Inactive,0.20859841624465095,0.3526915664616016,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021123,Phenobarbital sodium,57-30-7,C12H11N2NaO3,254.066736,14,663,2.0,Inactive,-0.115005428988272,-0.1944475208953186,0.009000000103013845,-2.045757485589748
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021094,"4,4'-Oxydianiline",101-80-4,C12H12N2O,200.094963,44,614,7.0,Inactive,-0.11208447540087918,-0.1895088654882183,0.00900000001745568,-2.045757489718352
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021125,Phenolphthalein,77-09-8,C20H14O4,318.089209,208,659,32.0,Active,-1.7746345488910782,-3.0004956423599976,56.09502306097192,1.7489243308989475
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021121,Phenformin hydrochloride,834-28-6,C10H16ClN5,241.109423,26,321,8.0,Inactive,0.24366037792191775,0.41197321590935465,3.9516372256329024,0.5967770679658304
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021206,"1,2-Propylene glycol",57-55-6,C3H8O2,76.052429,5,605,1.0,Inactive,0.3304947320780943,0.5587899796287136,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021175,Polysorbate 80,9005-65-6,, ,12,346,3.0,Inactive,-0.3417484036784882,-0.5778173295800779,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021254,Safrole,94-59-7,C10H10O2,162.068080,8,591,1.0,Inactive,0.07941914077796781,0.1342793568248589,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021256,Sulfasalazine,599-79-1,C18H14N4O5S,398.068491,45,660,7.0,Inactive,0.013054688457950528,0.022072451961968474,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021337,Thiabendazole,148-79-8,C10H7N3S,201.036068,63,677,9.0,Active,0.9345040669265101,1.5800297488476251,26.198707233842608,1.4182798617372883
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021331,Tetrakis(hydroxymethyl)phosphonium sulfate,55566-30-8,C8H24O12P2S,406.046371,38,331,11.0,Inactive,-0.4767386642139473,-0.8060545679178434,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021385,Folpet,133-07-3,C9H4Cl3NO2S,294.902833,177,700,25.0,Inactive,0.09693327014029082,0.1638916896086522,0.0050000002136988495,-2.3010299771023353
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021389,Trichlorfon,52-68-6,C4H8Cl3O4P,255.922579,87,701,12.0,Inactive,0.3444564150873488,0.5823959491256203,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021333,Tetramethylthiuram monosulfide,97-74-5,C6H12N2S3,208.016262,160,456,35.0,Inactive,-0.42617343624547793,-0.7205604889993762,183.18847669164916,2.2628981512825477
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021339,Thiotepa,52-24-4,C6H12N3PS,189.048956,25,440,6.0,Inactive,0.1314157127248029,0.22219350660945916,1.2272558781827194,0.08893512091548408
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021597,Heptanal,111-71-7,C7H14O,114.104465,9,458,2.0,Inactive,0.1905944406492124,0.32225101724935656,19.842513303298265,1.2975966801479941
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021460,Zearalenone,17924-92-4,C18H22O5,318.146724,150,416,36.0,Inactive,-0.6707296044011195,-1.1340482785399253,77.10367232642736,1.887075063305457
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021414,Tris(2-ethylhexyl) phosphate,78-42-2,C24H51O4P,434.352497,65,628,10.0,Inactive,-0.5645873951825787,-0.9545864076833571,30.169038777127767,1.4795614732363236
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021757,1-Ethynylcyclohexanol,78-27-3,C8H12O,124.088815,5,318,2.0,Inactive,0.09265823430059535,0.15666359500407318,0.08000000007907909,-1.0969100125787612
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021464,Ziram,137-30-4,C6H12N2S4Zn,303.917475,368,632,58.0,Inactive,0.119136959962061,0.20143298203765667,0.014013253368892843,-1.8534610255899806
